asset,trading_days,summed_daily_return,share_of_summed_return
159915.SZ,684,1.7354940585650187,0.4616064684246889
513100.SH,956,0.9869257328961341,0.2625023692309948
518880.SH,862,0.8745911597073407,0.23262363507125408
510300.SH,483,0.1626721929774051,0.043267527273062246
