design,window,threshold,cash_yield,cash_days,cash_segments,avoided_loss_sum,missed_gain_sum,avoidance_minus_missed,fragile_n_lt_5
design2_filter_then_rank,20,point,0.0,215,32,0.14764033467242488,0.6353320794900776,-0.48769174481765276,False
design2_filter_then_rank,20,point,0.02,215,32,0.14764033467242488,0.6353320794900776,-0.48769174481765276,False
design2_filter_then_rank,40,point,0.0,135,22,0.06776967294705916,0.5479083065151038,-0.48013863356804465,False
design2_filter_then_rank,40,point,0.02,135,22,0.06776967294705916,0.5479083065151038,-0.48013863356804465,False
design2_filter_then_rank,60,point,0.0,78,14,0.030319217850955704,0.29153906627758586,-0.26121984842663015,False
design2_filter_then_rank,60,point,0.02,78,14,0.030319217850955704,0.29153906627758586,-0.26121984842663015,False
design2_filter_then_rank,120,point,0.0,62,8,0.0,0.21305055254167216,-0.21305055254167216,False
design2_filter_then_rank,120,point,0.02,62,8,0.0,0.21305055254167216,-0.21305055254167216,False
design2_filter_then_rank,200,point,0.0,15,2,0.0,0.0040864461981091615,-0.0040864461981091615,True
design2_filter_then_rank,200,point,0.02,15,2,0.0,0.0040864461981091615,-0.0040864461981091615,True
design2_filter_then_rank,250,point,0.0,10,1,0.0,0.06673467196392169,-0.06673467196392169,True
design2_filter_then_rank,250,point,0.02,10,1,0.0,0.06673467196392169,-0.06673467196392169,True
design2_filter_then_rank,40,sma,0.0,153,24,0.08124730173338035,0.486729927711937,-0.40548262597855667,False
design2_filter_then_rank,40,sma,0.02,153,24,0.08124730173338035,0.486729927711937,-0.40548262597855667,False
design2_filter_then_rank,60,sma,0.0,115,18,0.04492359798653156,0.2998399998515997,-0.25491640186506814,False
design2_filter_then_rank,60,sma,0.02,115,18,0.04492359798653156,0.2998399998515997,-0.25491640186506814,False
design2_filter_then_rank,200,sma,0.0,53,8,0.0062246833152328485,0.2307018474140261,-0.22447716409879326,False
design2_filter_then_rank,200,sma,0.02,53,8,0.0062246833152328485,0.2307018474140261,-0.22447716409879326,False
design1_rank_then_gate,20,point,0.0,215,32,0.14764033467242488,0.6353320794900776,-0.48769174481765276,False
design1_rank_then_gate,20,point,0.02,215,32,0.14764033467242488,0.6353320794900776,-0.48769174481765276,False
design1_rank_then_gate,40,point,0.0,468,74,0.48166064404046327,1.549259187267083,-1.0675985432266195,False
design1_rank_then_gate,40,point,0.02,468,74,0.48166064404046327,1.549259187267083,-1.0675985432266195,False
design1_rank_then_gate,60,point,0.0,523,67,0.42381378010192705,1.6242986188346216,-1.2004848387326945,False
design1_rank_then_gate,60,point,0.02,523,67,0.42381378010192705,1.6242986188346216,-1.2004848387326945,False
design1_rank_then_gate,120,point,0.0,663,64,0.6457079663463239,2.0812997155962147,-1.4355917492498909,False
design1_rank_then_gate,120,point,0.02,663,64,0.6457079663463239,2.0812997155962147,-1.4355917492498909,False
design1_rank_then_gate,200,point,0.0,568,54,0.3895970927553707,1.763767538390475,-1.3741704456351043,False
design1_rank_then_gate,200,point,0.02,568,54,0.3895970927553707,1.763767538390475,-1.3741704456351043,False
design1_rank_then_gate,250,point,0.0,613,48,0.40346674782673997,1.51223845787356,-1.10877171004682,False
design1_rank_then_gate,250,point,0.02,613,48,0.40346674782673997,1.51223845787356,-1.10877171004682,False
design1_rank_then_gate,40,sma,0.0,273,46,0.29092315847821315,0.9702940945270146,-0.6793709360488015,False
design1_rank_then_gate,40,sma,0.02,273,46,0.29092315847821315,0.9702940945270146,-0.6793709360488015,False
design1_rank_then_gate,60,sma,0.0,334,59,0.3956767038106196,1.1234462700311485,-0.7277695662205289,False
design1_rank_then_gate,60,sma,0.02,334,59,0.3956767038106196,1.1234462700311485,-0.7277695662205289,False
design1_rank_then_gate,200,sma,0.0,529,59,0.5198660427424102,2.0589169049929135,-1.5390508622505032,False
design1_rank_then_gate,200,sma,0.02,529,59,0.5198660427424102,2.0589169049929135,-1.5390508622505032,False
