threshold,window,decision_days,all_four_valid_days,all_four_am_negative_days,all_four_am_negative_pct,top1_pass_days,top1_pass_pct,raw_design_diff_days,raw_design_diff_pct,actual_state_diff_pct_cash0
point,20,2998,2996,188,0.06275033377837116,2810,0.9372915276851234,0,0.0,0.0
point,40,2998,2996,90,0.030040053404539385,2622,0.8745830553702468,285,0.09506337558372248,0.15648982315648982
point,60,2998,2996,68,0.022696929238985315,2516,0.8392261507671781,414,0.1380920613742495,0.18130217028380635
point,120,2998,2996,57,0.019025367156208277,2353,0.784856571047365,587,0.19579719813208807,0.22763684913217624
point,200,2998,2921,10,0.003423485107839781,2475,0.8255503669112741,513,0.17111407605070048,0.19953286619953287
point,250,2998,2871,10,0.0034831069313827935,2405,0.8022014676450967,583,0.19446297531687792,0.2162883845126836
sma,40,2998,2996,131,0.04372496662216288,2792,0.9312875250166778,75,0.025016677785190126,0.06072739406072739
sma,60,2998,2996,114,0.038050734312416554,2736,0.9126084056037358,148,0.049366244162775186,0.10343677010343677
sma,200,2998,2922,56,0.019164955509924708,2534,0.8452301534356238,408,0.13609072715143428,0.18057409879839786
