year,window,lambda,insample_annualized_return,insample_sharpe,insample_max_drawdown
2017,expanding,0.25,0.033605113579070034,6.577778014641742,-0.004118248361644428
2017,expanding,0.5,0.033605113579070034,6.577778014641742,-0.004118248361644428
2017,expanding,0.6,0.033605113579070034,6.577778014641742,-0.004118248361644428
2017,expanding,0.65,0.033605113579070034,6.577778014641742,-0.004118248361644428
2017,expanding,0.7,0.033605113579070034,6.577778014641742,-0.004118248361644428
2017,expanding,0.75,0.033605113579070034,6.577778014641742,-0.004118248361644428
2017,expanding,0.8,0.033605113579070034,6.577778014641742,-0.004118248361644428
2017,expanding,0.9,0.033605113579070034,6.577778014641742,-0.004118248361644428
2017,expanding,1.0,0.033605113579070034,6.577778014641742,-0.004118248361644428
2017,expanding,1.25,0.033605113579070034,6.577778014641742,-0.004118248361644428
2017,expanding,1.5,0.033605113579070034,6.577778014641742,-0.004118248361644428
2017,expanding,2.0,0.033605113579070034,6.577778014641742,-0.004118248361644428
2017,trailing_36m,0.25,0.03279227909946947,5.985268537791544,-0.004176898330296774
2017,trailing_36m,0.5,0.03279227909946947,5.985268537791544,-0.004176898330296774
2017,trailing_36m,0.6,0.03279227909946947,5.985268537791544,-0.004176898330296774
2017,trailing_36m,0.65,0.03279227909946947,5.985268537791544,-0.004176898330296774
2017,trailing_36m,0.7,0.03279227909946947,5.985268537791544,-0.004176898330296774
2017,trailing_36m,0.75,0.03279227909946947,5.985268537791544,-0.004176898330296774
2017,trailing_36m,0.8,0.03279227909946947,5.985268537791544,-0.004176898330296774
2017,trailing_36m,0.9,0.03279227909946947,5.985268537791544,-0.004176898330296774
2017,trailing_36m,1.0,0.03279227909946947,5.985268537791544,-0.004176898330296774
2017,trailing_36m,1.25,0.03279227909946947,5.985268537791544,-0.004176898330296774
2017,trailing_36m,1.5,0.03279227909946947,5.985268537791544,-0.004176898330296774
2017,trailing_36m,2.0,0.03279227909946947,5.985268537791544,-0.004176898330296774
