label,reeval_mode,engine_mode,rebalance_days,phase_offset,start,end,trading_days,total_return,annual_return,sharpe,max_drawdown,annual_turnover,avg_holding_days,switch_count,cost_bps_one_side
cost_0.0001_min_hold,min_hold,min_hold,5,0,2014-02-07,2026-05-19,2985,26.425596528883432,0.32255021910783976,1.2116079438764318,-0.2579467007454498,23.00502512562814,10.934065934065934,272,1.0
cost_0.0001_periodic_k0,periodic,fixed_cycle,5,0,2014-02-07,2026-05-19,2985,17.818942652905772,0.28116191065920715,1.1469024801453462,-0.30374554229266915,16.504522613065326,15.229591836734693,195,1.0
cost_0.0005_min_hold,min_hold,min_hold,5,0,2014-02-07,2026-05-19,2985,21.058962140700213,0.2984591399810661,1.1403465799840897,-0.2622193265943886,23.00502512562814,10.934065934065934,272,5.0
cost_0.0005_periodic_k0,periodic,fixed_cycle,5,0,2014-02-07,2026-05-19,2985,15.094047873312245,0.26435558244483603,1.092021775785697,-0.3048628525206536,16.504522613065326,15.229591836734693,195,5.0
cost_0.0010_min_hold,min_hold,min_hold,5,0,2014-02-07,2026-05-19,2985,15.798287756954693,0.26893524058829343,1.0509689534160607,-0.2710889593763658,23.00502512562814,10.934065934065934,272,10.0
cost_0.0010_periodic_k0,periodic,fixed_cycle,5,0,2014-02-07,2026-05-19,2985,12.233552738212392,0.24363888716266624,1.0232116622012515,-0.3062582286237058,16.504522613065326,15.229591836734693,195,10.0
