rebalance_days,fee_bps_one_side,ytd_return
5,1.0,0.2612020470086234
5,2.9999999999999996,0.2556923789075465
5,5.0,0.25020459996335376
7,1.0,0.36427226225299436
7,2.9999999999999996,0.36100108388371144
7,5.0,0.3577364434410144
10,1.0,0.29125534938249587
10,2.9999999999999996,0.28819697257130583
10,5.0,0.28514463388805256
