rebalance_days,start,end,trading_days,ytd_return,sharpe,max_drawdown,switch_count,annual_turnover_sum_abs,annual_turnover_one_side
5,2026-01-05,2026-06-15,106,0.2612020470086234,1.6061527204949966,-0.21210317843995985,11,52.30188679245283,26.150943396226413
7,2026-01-05,2026-06-15,106,0.36427226225299436,2.1294980625959337,-0.16767473118279574,6,28.528301886792452,14.264150943396226
10,2026-01-05,2026-06-15,106,0.29125534938249587,1.7784291622448836,-0.16767473118279586,6,28.528301886792452,14.264150943396226
