tau,delta_gross_ann_return,turnover_reduction_sum_abs_ann,linear_break_even_fee,linear_break_even_bps_one_side,exact_break_even_fee,exact_break_even_bps_one_side,exact_break_even_status
0.0005,-0.04393985251684396,1.3507537688442213,0.032529875933228966,325.29875933228965,0.012412690649383594,124.12690649383595,extrapolated_above_grid
0.001,-0.06504154020937047,3.714572864321603,0.017509830224113558,175.09830224113557,0.00898450737695204,89.8450737695204,extrapolated_above_grid
0.0025,-0.06255410403957695,7.429145728643213,0.008420093820262323,84.20093820262323,0.005407587579817914,54.07587579817914,extrapolated_above_grid
0.005,0.028683100928326377,13.001005025125629,-0.0022062218169205893,-22.06221816920589,-0.0017736792522568669,-17.73679252256867,extrapolated_below_grid
0.0075,0.012338554660162426,15.364824120603014,-0.0008030391082457885,-8.030391082457886,-0.0006202021893904413,-6.202021893904413,extrapolated_below_grid
0.01,0.04375145970666128,19.417085427135678,-0.002253245466259212,-22.53245466259212,-0.001791356782662751,-17.91356782662751,extrapolated_below_grid
