baseline_execution_date,wave_end,old_asset,new_asset,tau,status,actual_execution_date,delay_trading_days,baseline_capture,actual_capture,capture_loss
2024-09-26,2024-11-01,518880.SH,159915.SZ,0.0,on_time,2024-09-26,0,0.29925187032418954,0.29925187032418954,0.0
2024-09-26,2024-11-01,518880.SH,159915.SZ,0.0005,on_time,2024-09-26,0,0.29925187032418954,0.29925187032418954,0.0
2024-09-26,2024-11-01,518880.SH,159915.SZ,0.001,on_time,2024-09-26,0,0.29925187032418954,0.29925187032418954,0.0
2024-09-26,2024-11-01,518880.SH,159915.SZ,0.0025,on_time,2024-09-26,0,0.29925187032418954,0.29925187032418954,0.0
2024-09-26,2024-11-01,518880.SH,159915.SZ,0.005,delayed,2024-09-27,1,0.29925187032418954,0.21657910099241096,0.08267276933177858
2024-09-26,2024-11-01,518880.SH,159915.SZ,0.0075,delayed,2024-09-27,1,0.29925187032418954,0.21657910099241096,0.08267276933177858
2024-09-26,2024-11-01,518880.SH,159915.SZ,0.01,delayed,2024-09-27,1,0.29925187032418954,0.21657910099241096,0.08267276933177858
