rank,variant,annualized_return,volatility,sharpe,max_drawdown,sortino,calmar,worst_calendar_return,best_calendar_return,final_nav,total_deposits,trades,traded_notional,estimated_transaction_cost,meets_5pct_return_floor,trigger_signals,rebalance_dates,average_cash_weight
1,ref_rank50_anchor,0.06878839853158314,0.04287067520841456,1.573365190348606,-0.058945414361421644,1.9356120074702203,1.1669847311583832,0.009917902926456224,0.16665484996644442,5671563.7596613355,3280000.0,517,166928867.33735,83464.433668675,True,86,86,0.02951943660181991
2,exp05_anchor,0.07315541299476735,0.04679889340336729,1.5322002644139707,-0.06794980722574018,1.849909232324877,1.0766095737657255,0.01693286524196913,0.16739576719006322,5934710.472225194,3280000.0,472,199759588.52964002,99879.79426482001,True,74,74,0.029178513216233225
3,sigmoid10_anchor,0.07727840533403607,0.05008889141948214,1.511301807465029,-0.07412408915003887,1.7203803476757966,1.0425545355115577,0.017797494853376783,0.15290915513165038,6176199.364431615,3280000.0,492,282899972.87680995,141449.98643840497,True,76,76,0.029196930735545443
4,ref_calendar_rank50,0.06583566636287608,0.04311030224854304,1.5006708695233368,-0.05912863943001101,1.8364877769379506,1.1134311054257218,0.009961889154295411,0.13290202086439917,5530870.910917308,3280000.0,504,161299254.1654,80649.6270827,True,164,94,0.031169797831788318
5,additive05_anchor,0.062475193214732716,0.04322218471908737,1.4238425060698263,-0.04876853931402969,1.6854751962419434,1.2810552477785593,0.012936515286190442,0.16101873822881774,5319399.992424049,3280000.0,419,72668719.69191,36334.359845955,True,65,65,0.028679167890793462
6,voladj_exp05_anchor,0.0723410236930302,0.05198947493603601,1.369571948771608,-0.06542966053245292,1.6352186464399858,1.105630429752104,0.010169633379961907,0.19324400677458242,5859789.150203066,3280000.0,428,111709519.61388,55854.75980694,True,70,70,0.028962499946977065
7,exp10_anchor,0.08227962717535231,0.05916891237866292,1.3660244853649854,-0.09050959497170119,1.545097756088989,0.9090707698015655,0.01484212196915391,0.1666088678674853,6507714.404623874,3280000.0,497,342859991.45228994,171429.99572614496,True,79,79,0.029269216884840885
8,voladj_rank50_anchor,0.06488394752222049,0.04980824820386927,1.2871975728470852,-0.05519489892945628,1.48455659631382,1.1755424646242694,0.009084759404576426,0.19081911627409354,5452016.978548209,3280000.0,407,77593470.52359,38796.735261795,True,65,65,0.029026996277805358
