rank,variant,annualized_return,volatility,sharpe,max_drawdown,sortino,calmar,worst_calendar_return,best_calendar_return,final_nav,total_deposits,trades,traded_notional,estimated_transaction_cost,meets_5pct_return_floor,trigger_signals,rebalance_dates,deposit_trade_count,rebalance_trade_count,average_cash_weight
1,anchor_drift10_cap1,0.06878839853158314,0.04287067520841456,1.573365190348606,-0.058945414361421644,1.9356120074702203,1.1669847311583832,0.009917902926456224,0.16665484996644442,5671563.7596613355,3280000.0,517,166928867.33735,83464.433668675,True,86,86,214,303,0.02951943660181991
2,calendar_or_anchor_drift10,0.06765352511904443,0.0433378585563219,1.5323481600763096,-0.059121282932720454,1.8868223782567368,1.144317608872487,0.00997437566470838,0.14915247058031667,5611728.158048729,3280000.0,554,167827461.42256,83913.73071128,True,178,99,217,337,0.02959854210853379
3,ref_calendar_monthly,0.06583566636287608,0.04311030224854304,1.5006708695233368,-0.05912863943001101,1.8364877769379506,1.1134311054257218,0.009961889154295411,0.13290202086439917,5530870.910917308,3280000.0,504,161299254.1654,80649.6270827,True,164,94,176,328,0.031169797831788318
4,anchor_drift20_cap1,0.06829931860523164,0.04554452398737812,1.4735350602506332,-0.06478101045895412,1.7595155545572752,1.0543107944959695,0.016198374052171838,0.1418873146848023,5655451.851484263,3280000.0,435,142296631.15148997,71148.31557574499,True,67,67,199,236,0.028947061787856398
5,ref_drift10_cap1,0.06383723804556651,0.045685728050704144,1.3775151461023811,-0.050609527879078686,1.5551738702896707,1.261367981896468,0.019280156509322577,0.17724877483779866,5534621.5414276915,3280000.0,454,178716689.36464,89358.34468232,True,109,109,86,368,0.029497726003678615
6,tilt025_drift10_cap1,0.05601301115718327,0.04351356191000399,1.2743934470336524,-0.048066948215123806,1.4242937208375572,1.1653124077379913,0.022692973792278526,0.13885149220498372,5055853.483837485,3280000.0,467,95890384.76504,47945.19238252,True,99,99,131,336,0.029137443346458215
7,reversal60_drift10_cap1,0.05774997105119395,0.04567958526966164,1.2520178920715794,-0.07135732091568181,1.3857373218775422,0.8093068841448412,0.015015458353180078,0.1695632586384761,5130095.631941786,3280000.0,442,127219121.43643999,63609.56071822,True,91,91,124,318,0.02935320555978989
8,smooth10_drift10_cap1,0.054621337292755534,0.04344017157222906,1.2460969650120357,-0.07121836701433304,1.3967709809688251,0.7669557669268481,0.010674580873651696,0.1502521259497529,4936910.975847827,3280000.0,455,126005577.34436,63002.788672179995,True,105,105,88,367,0.029039742116285273
9,smooth05_drift10_cap1,0.053550586217137486,0.0432712598681506,1.2273135611857637,-0.07141183892511105,1.3532276561113337,0.749883871122483,0.008024380048078594,0.12306775721998053,4928023.299510108,3280000.0,454,133731672.6198,66865.8363099,True,108,108,83,371,0.029150763464615023
