block_days,replicates,observed_sharpe_delta,probability_sharpe_delta_positive,sharpe_q025,sharpe_median,sharpe_q975,observed_top10_mean_improvement,probability_top10_improvement_positive,top10_q025,top10_median,top10_q975
20,2000,0.16731595904303376,0.9305,-0.04841535670543553,0.1611945516511659,0.3869869631275778,0.042487420302155354,0.989,0.0049549264171653545,0.031197700290803446,0.06517958861621088
60,2000,0.16731595904303376,0.9555,-0.023210498657166026,0.15595007953359788,0.34338526874603353,0.042487420302155354,0.9925,0.005803995272804498,0.03207684713632521,0.06416194177642282
120,2000,0.16731595904303376,0.9565,-0.021620380657631288,0.16322637960125136,0.3359025403195367,0.042487420302155354,0.9975,0.008326262799638816,0.03251135243606593,0.06459764610770351
