gate,value,passed
V/T predictive MSE <= equal weight,V=-0.002142;T=-0.004185,True
D/V/T/FULL 1bp Sharpe nonnegative,D=0.0187;V=0.4029;T_pseudo_oos=0.0979;FULL=0.1673,True
FULL 5bp Sharpe nonnegative,0.15029422888231592,True
FULL top10 mean improves >=1pp,0.042487420302155354,True
FULL max drawdown improves >=0.5pp,0.0016587728419480419,False
baseline top10 same-window wins >=7,9,True
rolling36 Sharpe lead >=60%,0.8918918918918919,True
official baseline max daily diff <=1e-12,0.0,True
target invariants,invalid_assets=[];active_rows=3286,True
