year,annual_return_delta,sharpe_delta,top10_mean_depth_delta,triple_win
2014,-0.09793991932746193,-0.10396481594718576,0.005889155570976218,False
2015,0.3120078942986597,0.7379374331573547,0.0050798028891218955,True
2016,-0.046744976192011345,-0.20594556898591865,-0.000897233116586002,False
2017,0.028558144910892036,0.2103692720339363,0.0014039027580366563,True
2018,-0.1109893244217337,-0.4132028578795399,0.0059518732641275635,False
2019,0.0004597935327474989,0.2271880272306004,0.007455479012126884,True
2020,0.15628571160650484,0.41467878923865464,0.004568904234392421,True
2021,-0.049403768105166,-0.260497611808277,-0.006297697926327839,False
2022,-0.03793614527711808,-0.10492120831382423,0.007011292908854189,False
2023,0.009427532533774485,0.06417589219627795,0.005079285823287115,True
2024,-0.10980536250697415,0.21739785058003758,0.009895197844916007,False
2025,-0.03169395083494653,0.11621629691421664,0.007423485002956677,False
2026,-0.057734869848351744,-0.19758908796471975,-0.009493462911263323,False
