window_end,baseline_sharpe,candidate_sharpe,candidate_leads
2017-02-09,1.4540269671948867,1.6463403514794646,True
2017-03-10,1.3810988746224735,1.5670447148849544,True
2017-04-12,1.3056827022020154,1.4921782971138373,True
2017-05-12,1.2908910835518335,1.4774888005900118,True
2017-06-14,1.4254494847049464,1.6192371830299583,True
2017-07-13,1.3928318345356012,1.5849782445326375,True
2017-08-11,1.4548039238056452,1.644345788595001,True
2017-09-11,1.406542605668259,1.5949114953844015,True
2017-10-17,1.3728024167490775,1.5768810647558742,True
2017-11-15,1.3645578903168318,1.5851272901563864,True
2017-12-14,1.4227297622514936,1.6489589781246032,True
2018-01-15,1.2372958520719182,1.4636229276990707,True
2018-02-13,1.0413149850879846,1.2432772794172418,True
2018-03-21,1.2067696362290994,1.4250950645380134,True
2018-04-23,1.02571034652644,1.1897697825922853,True
2018-05-24,0.960975963098168,1.0109644948337355,True
2018-06-25,0.8026415163413967,0.8665730817106153,True
2018-07-24,0.9767902267868361,1.0467397946794186,True
2018-08-22,1.0619876777122914,1.132595511970715,True
2018-09-20,0.9995901922696834,1.0756984776073593,True
2018-10-29,0.9337135326197259,1.006910127725511,True
2018-11-27,0.7107791145950325,0.7903043766217115,True
2018-12-26,0.904081917284217,0.8683744332383067,False
2019-01-28,1.1881440744675429,1.1384509665486096,False
2019-03-05,1.7605666807474154,1.6977709978836084,False
2019-04-03,1.519580728631467,1.4721110231686652,False
2019-05-08,1.3908133783601515,1.340272115254465,False
2019-06-06,1.3668763695489077,1.315475051558433,False
2019-07-08,1.3400332418897365,1.2882240422670284,False
2019-08-06,1.4571805378313205,1.4096755580684912,False
2019-09-04,1.4879558392561467,1.4407983899006493,False
2019-10-11,1.4288361824419744,1.387184623281783,False
2019-11-11,1.4425227135533176,1.432451562676426,False
2019-12-10,1.4961353897077805,1.4971034646444106,True
2020-01-09,1.644824318759851,1.6430815699773977,False
2020-02-17,1.6315083341924606,1.6468566031889993,True
2020-03-17,1.2225823666520708,1.2275713016573055,True
2020-04-16,1.341301036898031,1.350340416940404,True
2020-05-20,1.2966981963007067,1.2978859335429327,True
2020-06-18,1.3207618462424113,1.3187868416575486,False
2020-07-21,1.3344408446299667,1.4918146883644743,True
2020-08-19,1.144612929099091,1.3081845527069564,True
2020-09-17,1.2127994633772934,1.3679296209873613,True
2020-10-26,1.100124950673044,1.245462358654047,True
2020-11-24,1.1483382614893272,1.278221979818842,True
2020-12-23,1.1823032408451017,1.3096454938755313,True
2021-01-22,1.2168340429158262,1.3152307685824127,True
2021-03-01,1.0637568352369795,1.157410949157403,True
2021-03-30,1.1098228643307841,1.2220720122434394,True
2021-04-29,1.132801955020333,1.2469493844484347,True
2021-06-02,1.1182659481296726,1.2436280636980455,True
2021-07-02,1.1558509166700104,1.272027927800877,True
2021-08-02,1.011576491916176,1.1337212653292825,True
2021-08-31,0.886501659689627,1.0071765320629675,True
2021-10-08,0.9203785994180728,1.0428870783101003,True
2021-11-08,0.975845920808816,1.0880969696699345,True
2021-12-07,1.007403781856701,1.121169923303869,True
2022-01-06,1.0165219885755568,1.1309731780770074,True
2022-02-11,0.9344293634676825,1.0631898034683949,True
2022-03-14,1.0331899427258064,1.1630756941913736,True
2022-04-14,0.6618407436355519,0.8053515839941136,True
2022-05-18,0.5825589845254928,0.7169468490401615,True
2022-06-17,0.8122868162425112,0.9501785069154377,True
2022-07-18,0.8474993673560827,0.9808090815121924,True
2022-08-16,0.9962028547142852,1.1212129402865236,True
2022-09-15,0.8152413444364814,0.9366203316754897,True
2022-10-21,0.733636947001065,0.854380131681599,True
2022-11-21,0.8240861722656203,0.9444673029943813,True
2022-12-20,0.8464569593147835,0.9453864390160646,True
2023-01-19,0.887578086191214,0.9816970518095375,True
2023-02-24,0.781488917435759,0.8799255901905303,True
2023-03-27,0.6823584564810792,0.7740071411556736,True
2023-04-26,0.9219581761331443,1.035125900272422,True
2023-05-30,0.8628110664601772,0.9757496391727197,True
2023-06-30,1.0011971751145132,1.1173399594968725,True
2023-07-31,0.9780798185497888,1.0985768259228454,True
2023-08-29,0.8959753055161255,0.8516366037955716,False
2023-09-27,0.9729958912836632,0.915946266201346,False
2023-11-03,0.8281395226249755,0.7524470738328465,False
2023-12-04,0.83274121435454,0.8049248623957835,False
2024-01-03,0.7597546167054126,0.7297352688634519,False
2024-02-01,0.7277464097861504,0.6998998183027191,False
2024-03-11,0.8304953824181004,0.8579020819290459,True
2024-04-11,1.1363951952964817,1.1773766644599604,True
2024-05-15,1.14099061147014,1.1743479903536438,True
2024-06-14,1.1092458690601288,1.1421531901010173,True
2024-07-15,1.2168281299766102,1.2522139279303552,True
2024-08-13,1.0675746244872975,1.1120106304308341,True
2024-09-11,1.0836255043188774,1.1127260045344856,True
2024-10-21,1.2193146578607557,1.2601828158541732,True
