year,annual_delta,sharpe_delta,top10_delta,triple_win
2014,0.0,0.0,0.0,False
2015,0.03600911922455019,0.09187720248598996,0.01728274488426243,True
2016,0.0,0.0,0.0,False
2017,0.0,0.0,0.0,False
2018,0.0,0.0,0.0,False
2019,0.02341372550645482,0.07598009990055177,0.002108450119960102,True
2020,0.15205363269794203,0.34401832687656453,-0.009670613032613101,False
2021,-0.030517713259061274,-0.1575803721007073,-0.010308311133410866,False
2022,0.0,0.0,0.0,False
2023,0.03831965341486265,0.22830778642084215,0.002707175492725318,True
2024,0.015411878940464474,0.022543152103789543,3.469446951953614e-17,True
2025,0.0055831791268246,0.013862659665251797,-2.0816681711721685e-17,False
2026,0.0,0.0,0.0,False
