candidate,family,threshold,budget,D_sharpe,D_sharpe_delta,D_annual_return,D_annual_return_delta,D_top10_mean_depth,D_top10_mean_depth_delta,D_max_drawdown,D_max_drawdown_delta,D_annual_turnover,V_sharpe,V_sharpe_delta,V_annual_return,V_annual_return_delta,V_top10_mean_depth,V_top10_mean_depth_delta,V_max_drawdown,V_max_drawdown_delta,V_annual_turnover,robust_score,eligible_DV_triple,DV_sharpe_delta,DV_annual_delta,DV_top10_delta,DV_trigger_days,confidence_cap,beta,max_budget
P5_002_SAFE_POS,SAFE_POS,0.7,0.35,1.5846385091333874,0.14751342479207308,0.3751930742614702,0.010028009860802323,-0.11077067388982191,0.008720144594144982,-0.21344061426814187,0.04450608647730825,41.889836065573775,1.104090633759398,0.11007906720678273,0.24921998889042274,0.01365840419330877,-0.11123666642441801,0.013639079073607188,-0.2045888777902789,0.012810928945623745,46.71851851851852,1.0028009860802323,True,0.129085190205795,0.011739904483711205,0.01327013042698999,375,,,
P5_001_SAFE_POS,SAFE_POS,0.7,0.2,1.6336280092023103,0.19650292486099596,0.4110553460760422,0.045890281675374345,-0.11274064708391052,0.006750171400056376,-0.2184876461886741,0.03945905455677601,40.402622950819676,1.060974986933168,0.06696342038055259,0.24406817969310501,0.008506594995991046,-0.1156660356029828,0.009209709895042398,-0.22316304250070684,-0.005763235764804198,46.251851851851846,0.8506594995991046,True,0.13919654819084726,0.028310497210425112,0.007430764648381355,375,,,
P5_168_DYNAMIC_CLOSE,DYNAMIC_CLOSE,0.8,,1.4413469914790673,0.004221907137752945,0.3677839592521446,0.002618894851476705,-0.11234629869608707,0.007144519787879819,-0.22278092886166367,0.035165771883786445,42.75058077471809,1.1067008167280015,0.11268925017538611,0.26721882753537973,0.031657242838265764,-0.11620882716844098,0.008666918329584217,-0.21739980673590242,2.220446049250313e-16,46.434498880442014,0.0844381427550589,True,0.0542442878941769,0.016144417791630783,0.01191031587510541,129,1.5,,0.35
P5_145_RA_CLOSE,RA_CLOSE,0.8,0.2,1.4502534391235384,0.013128354782224072,0.3686711691504241,0.0035061047497562114,-0.11425999266221251,0.005230825821754381,-0.25794670074544956,5.551115123125783e-16,42.63344262295082,1.0079774895903597,0.013965923037744354,0.2358223613137007,0.0002607766165867442,-0.11923327256402219,0.005642472934003009,-0.21739980673590276,-1.1102230246251565e-16,46.355555555555554,0.026077661658674423,True,0.015275578718491722,0.0019883008309142802,0.004051936130825967,80,1.0,0.75,
P5_054_DYNAMIC_CLOSE,DYNAMIC_CLOSE,0.7,,1.508187682184071,0.07106259784275659,0.3820180822976378,0.016853017896969913,-0.11165211794343177,0.00783870054053512,-0.22340778046169574,0.03453892028375438,40.08236293713256,0.9949114869595517,0.0008999204069363165,0.23471381484525722,-0.00084776985185675,-0.114612495021432,0.010263250476593197,-0.289682955460128,-0.07228314872422537,46.0650404745678,-0.084776985185675,False,0.038061062893288033,0.00854941836387968,0.011130956391192687,231,1.5,,0.35
P5_169_DYNAMIC_CLOSE,DYNAMIC_CLOSE,0.8,,1.4414166333805083,0.0042915490391939315,0.3638567081606787,-0.0013083562399891502,-0.11184389335361718,0.007646925130349716,-0.22171405279696565,0.036232647948484464,42.83619267582678,1.1099693005518876,0.11595773399927223,0.26664173418945447,0.031080149492340503,-0.1157215479466375,0.009154197551387702,-0.21739980673590253,1.1102230246251565e-16,46.55722062285366,-0.13083562399891502,False,0.05537950010729675,0.013763443715572032,0.012672368909544651,129,1.5,,0.5
P5_055_DYNAMIC_CLOSE,DYNAMIC_CLOSE,0.7,,1.50859198858824,0.07146690424692559,0.37454046806931984,0.009375403668651972,-0.11043056996401876,0.009060248519948133,-0.22263449788981615,0.03531220285563397,40.4408463504704,1.0001616829865416,0.006150116433926267,0.23382995015250585,-0.0017316345446081183,-0.11396358422649884,0.01091216127152636,-0.2861679023904188,-0.06876809565451614,46.25164512239845,-0.17316345446081183,False,0.0395746748741963,0.0041695989630812225,0.012443885623657946,231,1.5,,0.5
P5_033_RA_CLOSE,RA_CLOSE,0.7,0.5,1.4799352182616037,0.04281013392028932,0.36271685573869306,-0.0024482086619748156,-0.11333791868741014,0.0061528997965567545,-0.2579467007454501,0.0,41.72459016393443,1.0190068643569832,0.024995297804367822,0.23502744465922576,-0.0005341400378882089,-0.11329334582655996,0.011582399671465238,-0.2615694727571888,-0.044169666021286136,45.11111111111111,-0.24482086619748156,False,0.03402075421025397,-0.001554315231442116,0.0026916748288778325,147,1.0,0.75,
P5_056_DYNAMIC_CLOSE,DYNAMIC_CLOSE,0.7,,1.5055611221839105,0.06843603784259611,0.3669236938984781,0.001758629497810249,-0.1084902367501011,0.011000581733865797,-0.22189138316423052,0.036055317581219604,40.79932976380824,1.003976639694741,0.00996507314212558,0.23283171716208884,-0.0027298675350251322,-0.1133186973389988,0.011557048159026403,-0.28265560256683653,-0.06525579583093388,46.43824977022909,-0.2729867535025132,False,0.038637145186180666,-0.0003451362651256673,0.013474597532057292,231,1.5,,0.65
P5_090_RA_CLOSE,RA_CLOSE,0.75,0.5,1.4798384376781761,0.04271335333686177,0.36149389202005033,-0.003671172380617538,-0.11405441669115057,0.00543640179281632,-0.2579467007454498,3.3306690738754696e-16,41.93114754098361,1.039176503033081,0.04516493648046571,0.24154758451748393,0.005985999820369958,-0.11472297761665409,0.010152767881371108,-0.2615694727571888,-0.044169666021286136,44.85185185185185,-0.3671172380617538,False,0.04236816211901906,0.0008419170474944782,0.0019087098351761589,126,1.0,0.75,
