local_id,threshold,incumbent_momentum_floor,confidence_cap,event_days,D_sharpe_delta,D_annual_delta,D_top10_delta,V_sharpe_delta,V_annual_delta,V_top10_delta,T_sharpe_delta,T_annual_delta,T_top10_delta,FULL_sharpe_delta,FULL_annual_delta,FULL_top10_delta,all_segments_triple,FULL_5bp_sharpe_delta,FULL_5bp_annual_delta
14,0.75,0.05,1.0,19,0.03795632716330566,0.007198527500061669,0.018900204868058823,0.10746005404274761,0.03413182074566623,0.004481404355663313,0.044523388978016776,0.019251716065099345,0.002707175492725228,0.05890793281635953,0.019628401999805645,0.010901922014728893,True,0.06141307166899401,0.0201531748497914
13,0.75,0.05,0.8,18,0.03795632716330566,0.007198527500061669,0.018900204868058823,0.10746005404274761,0.03413182074566623,0.004481404355663313,0.03609816477696137,0.015535766550270447,0.0027071754927252834,0.05606985192212144,0.018620945439998593,0.010901922014728893,True,0.058571023194055494,0.019163427311495784
5,0.725,0.05,1.0,21,0.03248445780831055,0.005389995790708868,0.018900204868058892,0.10746005404274761,0.03413182074566623,0.004481404355663313,0.040611681263945876,0.0176261300919065,0.002707175492725228,0.0556015187432517,0.018478270507422234,0.010901922014728949,True,0.05811247211337767,0.01902369982622476
4,0.725,0.05,0.8,20,0.03248445780831055,0.005389995790708868,0.018900204868058892,0.10746005404274761,0.03413182074566623,0.004481404355663313,0.032187986201043906,0.013914412507941343,0.002707175492725228,0.05276346010704325,0.01747166966267577,0.010901922014729004,True,0.05527043769216822,0.018034792782033904
15,0.75,0.05,1.2,23,0.04091425815850691,0.007351417168455221,0.01862553434555425,0.12218670035512547,0.03870952913949943,0.005603724438836832,0.13046116089485715,0.058072686282792274,-0.00797094854021102,0.09306645400758029,0.03166021406797159,0.009496089852847334,False,0.09620894840349914,0.03215707784636668
6,0.725,0.05,1.2,25,0.035432507206852426,0.005542683977648233,0.018625534345554334,0.12218670035512547,0.03870952913949943,0.005603724438836832,0.12653652665680948,0.05640288882033673,-0.007970948540211048,0.08975839385797357,0.030499862975853276,0.009496089852847472,False,0.09290648960915493,0.031017409102373827
10,0.75,0.025,0.8,22,0.03795632716330566,0.007198527500061669,0.018900204868058823,0.19099056693578198,0.05826382265142516,0.004481404355663257,-0.029318145504083404,-0.01655515282807163,0.0027071754927252834,0.05989243304528902,0.017884085680945683,0.010901922014729004,False,0.062235041952174,0.018524827690565848
12,0.75,0.025,1.2,39,-0.0666857357827555,-0.027989165662740678,0.015614694361063608,0.15654059095705242,0.04850736893306129,0.0024278493462476652,0.11055303893748247,0.04585067482024052,-0.007983822515308464,0.058348423238470115,0.0176119974025315,0.009496089852847334,False,0.06229553872443061,0.018712714361376115
3,0.725,0.025,1.2,41,-0.07913252177101704,-0.031845800977662764,0.015614694361063677,0.15654059095705242,0.04850736893306129,0.0024278493462476652,0.1066045501271462,0.04419479646710922,-0.007983822515308436,0.05256226250007079,0.015620637103056279,0.009496089852847334,False,0.056490484983938494,0.016754198456749192
1,0.725,0.025,0.8,27,0.015514172411271732,-3.38374408979103e-05,0.018900204868058892,0.19099056693578198,0.05826382265142516,0.004481404355663257,-0.03325318096285268,-0.01813995993894646,0.002707175492725228,0.05046842415599806,0.014606568839292677,0.010901922014728949,False,0.05278208465483747,0.015302983664838399
