field,equal_weight,fitted_weight,difference,selected_lambda,fit_rows
range20,0.125,0.2298210343079399,0.1048210343079399,0.1,960
cvar20,0.125,0.14764620083930738,0.02264620083930738,0.1,960
downside_lpm20,0.125,0.1442424471541024,0.019242447154102393,0.1,960
gap_tail20,0.125,0.12072064017261751,-0.004279359827382492,0.1,960
amihud20,0.125,0.09471453993473979,-0.030285460065260214,0.1,960
amount_shock20,0.125,0.09159275552117711,-0.03340724447882289,0.1,960
premium_crowding,0.125,0.09097132493416679,-0.03402867506583321,0.1,960
share_flow20,0.125,0.08029105713594922,-0.04470894286405078,0.1,960
