candidate,period,days,annual_return,sharpe,max_drawdown,annual_turnover_sum_abs,top10_count,top10_mean_depth,top10_worst_depth,top10_mean_recovery_days
BASE_QM20,D,1220,0.36516506440066787,1.4371250843413144,-0.2579467007454501,44.20327868852459,10,-0.11949081848396689,-0.2579467007454501,49.77777777777778
BASE_QM20,V,972,0.23556158469711397,0.9940115665526154,-0.21739980673590265,47.7037037037037,10,-0.1248757454980252,-0.21739980673590265,49.0
BASE_QM20,T_pseudo_oos,876,0.4081334660239546,1.2648281117085953,-0.25505250836130944,48.32876712328767,10,-0.12239415339535265,-0.25505250836130944,45.111111111111114
BASE_QM20,FULL,3068,0.3344526118113791,1.2383242854200656,-0.2579467007454501,46.49022164276402,10,-0.19594385552375493,-0.2579467007454501,90.6
DOWNSIDE_25,D,1220,0.36516506440066787,1.4371250843413144,-0.2579467007454501,44.20327868852459,10,-0.11949081848396689,-0.2579467007454501,49.77777777777778
DOWNSIDE_25,V,972,0.23556158469711397,0.9940115665526154,-0.21739980673590265,47.7037037037037,10,-0.1248757454980252,-0.21739980673590265,49.0
DOWNSIDE_25,T_pseudo_oos,876,0.4081334660239546,1.2648281117085953,-0.25505250836130944,48.32876712328767,10,-0.12239415339535265,-0.25505250836130944,45.111111111111114
DOWNSIDE_25,FULL,3068,0.3344526118113791,1.2383242854200656,-0.2579467007454501,46.49022164276402,10,-0.19594385552375493,-0.2579467007454501,90.6
DOWNSIDE_50,D,1220,0.22863216741521408,1.055825930010284,-0.25794670074545023,45.029508196721316,10,-0.10315586561723591,-0.25794670074545023,78.55555555555556
DOWNSIDE_50,V,972,0.31538808060719425,1.3112594214793574,-0.2173998067359022,54.96296296296296,10,-0.12197965757693412,-0.2173998067359022,46.9
DOWNSIDE_50,T_pseudo_oos,876,0.4198864163495837,1.319986464357795,-0.28360415164630026,54.65753424657534,10,-0.12875946228097002,-0.28360415164630026,39.22222222222222
DOWNSIDE_50,FULL,3068,0.3084287557111416,1.2119741170755811,-0.28360415164630015,50.92568448500652,10,-0.1908523375262364,-0.28360415164630015,132.44444444444446
