lambda,fold,train_end,validation_start,validation_end,train_rows,rows,dates,mse,mean_daily_pearson_ic,mean_daily_spearman_ic,highest_risk_hit_rate,weight_downside_lpm20,weight_cvar20,weight_range20,weight_gap_tail20,weight_amihud20,weight_amount_shock20,weight_share_flow20,weight_premium_crowding,fit_objective,cv_mse,cv_spearman,cv_hit_rate,selected_lambda
0.0,2016,2015-12-31,2016-01-01,2016-12-31,376,180,45,0.058160706008539134,0.32881018596836314,0.3943636796684044,0.6222222222222222,0.0,1.7644313004001625e-20,0.5748236118121148,0.06079327965115572,0.18472159250574927,0.14500443621509673,0.03465707981588339,0.0,0.03485685567026457,0.04621781641198087,0.49515525100180063,0.657070707070707,False
0.0,2017,2016-12-30,2017-01-01,2017-12-31,572,180,45,0.05310580396735646,0.3793857418764954,0.3748850056793821,0.6444444444444445,6.896430517385904e-19,0.11099027244746475,0.48116327732780334,0.15409177100219587,0.02983322941540122,0.08007045271498073,0.10009703340203863,0.043753963690115534,0.0388390355223997,0.04621781641198087,0.49515525100180063,0.657070707070707,False
0.0,2018,2017-12-29,2018-01-01,2018-12-31,768,176,44,0.027386939260047018,0.7365525704769728,0.7162170676576154,0.7045454545454546,0.0,0.12158627338881291,0.478649628084627,0.1942023621378353,0.03758188918275348,0.06823379816015837,0.06255570797307931,0.03719034107273365,0.042137933468113974,0.04621781641198087,0.49515525100180063,0.657070707070707,False
0.01,2016,2015-12-31,2016-01-01,2016-12-31,376,180,45,0.05350543450279965,0.36453690904868075,0.41916874113544533,0.6666666666666666,0.00013198681418358473,0.0887619483688387,0.4714213835943139,0.07072100034904372,0.16939693917448803,0.13818689055847636,0.061379851140655556,5.278219252612625e-19,0.03690597697911321,0.04473631072655485,0.5119600128949532,0.6644781144781144,False
0.01,2017,2016-12-30,2017-01-01,2017-12-31,572,180,45,0.05321986859430425,0.3717520084942792,0.3751254170277798,0.6222222222222222,0.01732655821579687,0.15030548473764582,0.4054143683599695,0.13650926946615105,0.041644763119207895,0.08442165310635512,0.10236463742586946,0.06201326556900434,0.04014834486768953,0.04473631072655485,0.5119600128949532,0.6644781144781144,False
0.01,2018,2017-12-29,2018-01-01,2018-12-31,768,176,44,0.027483629082560666,0.732609291288717,0.7415858805216345,0.7045454545454546,0.060762165949390066,0.11948963539226387,0.3996152892714787,0.16564057218776707,0.052271528334956,0.07627146767025712,0.06884502192328235,0.05710431927060489,0.04342478559816681,0.04473631072655485,0.5119600128949532,0.6644781144781144,False
0.1,2016,2015-12-31,2016-01-01,2016-12-31,376,180,45,0.04771265353087275,0.420736377323489,0.41739468155333925,0.5555555555555556,0.12075481370500862,0.13253136486195907,0.2396975106833252,0.09016223847190628,0.12533365482490047,0.11784441449135322,0.09936928031788815,0.0743067226436591,0.041405785803033085,0.04451956093377729,0.4684422189106603,0.5602693602693603,True
0.1,2017,2016-12-30,2017-01-01,2017-12-31,572,180,45,0.05502599056759734,0.3179828863544397,0.2858468855854186,0.4888888888888889,0.12847044330069798,0.14678335096059567,0.22868548847376824,0.11088787479883555,0.07954731697092027,0.09922211971476208,0.10873374488698748,0.09766966089343282,0.043389655917132584,0.04451956093377729,0.4684422189106603,0.5602693602693603,True
0.1,2018,2017-12-29,2018-01-01,2018-12-31,768,176,44,0.030820038702861784,0.6943229589111433,0.702085089593223,0.6363636363636364,0.13263750143314168,0.14158154749863622,0.22645915725371038,0.12065533455628125,0.09253791519195587,0.0963844011416551,0.09390256286210176,0.09584158006251782,0.04653744864310696,0.04451956093377729,0.4684422189106603,0.5602693602693603,True
1.0,2016,2015-12-31,2016-01-01,2016-12-31,376,180,45,0.048437449885485505,0.388009409883292,0.37796304986765417,0.5111111111111111,0.12881378560174309,0.13006837872577803,0.14279722199472406,0.11758895601203345,0.12236770715780844,0.12202886693661706,0.12012218054013257,0.11621290303116334,0.0440268793270125,0.04732307992132024,0.39586718431953455,0.4550505050505051,False
1.0,2017,2016-12-30,2017-01-01,2017-12-31,572,180,45,0.05728826614345333,0.24211923230084503,0.20620433710710384,0.4222222222222222,0.13023548052388903,0.13226840149931413,0.1421393831085272,0.12038731252680401,0.11589303429302662,0.11869150288655547,0.12098238168167427,0.11940250348020924,0.045921902404508774,0.04732307992132024,0.39586718431953455,0.4550505050505051,False
1.0,2018,2017-12-29,2018-01-01,2018-12-31,768,176,44,0.03624352373502188,0.6253040368064329,0.6034341659838458,0.4318181818181818,0.13013197383112743,0.13112866382229432,0.14134313352768532,0.1216707195323441,0.11963482794961831,0.11825040553581394,0.11869921053098552,0.11914106527013103,0.04883024000357669,0.04732307992132024,0.39586718431953455,0.4550505050505051,False
