year,baseline,selected,selected_minus_baseline
2014,0.7677552666581031,0.5857611678892998,-0.18199409876880335
2015,0.39635776312980187,0.26790997451228327,-0.1284477886175186
2016,0.14299272484202374,0.07435181250607359,-0.06864091233595015
2017,0.24303199599157344,0.31824927227848754,0.0752172762869141
2018,0.286836138780572,0.23497544179391072,-0.05186069698666129
2019,0.42816920631941713,0.5298226249202374,0.10165341860082022
2020,0.21398539300393304,0.3829523893160318,0.16896699631209877
2021,0.06184614235334007,0.07736857717626955,0.015522434822929476
2022,0.2282291014130471,0.2751274188781019,0.046898317465054795
2023,0.09325641293319364,0.14489568196471359,0.05163926903151994
2024,0.6931222879592331,0.48758196940671183,-0.2055403185525213
2025,0.5095569756768099,0.3757491943945346,-0.13380778128227533
2026,0.176127385233807,0.11747106360640847,-0.05865632162739853
