candidate,family,threshold,budget,D_sharpe,D_sharpe_delta,D_annual_return,D_annual_return_delta,D_top10_mean_depth,D_top10_mean_depth_delta,D_max_drawdown,D_max_drawdown_delta,D_annual_turnover,V_sharpe,V_sharpe_delta,V_annual_return,V_annual_return_delta,V_top10_mean_depth,V_top10_mean_depth_delta,V_max_drawdown,V_max_drawdown_delta,V_annual_turnover,robust_score,eligible_DV_triple,DV_sharpe_delta,DV_annual_delta,DV_top10_delta,DV_trigger_days,confidence_cap,beta,max_budget
P5_002_SAFE_POS,SAFE_POS,0.7,0.35,1.5846385091333874,0.14751342479207308,0.3751930742614702,0.010028009860802323,-0.11077067388982191,0.008720144594144982,-0.21344061426814187,0.04450608647730825,41.889836065573775,1.104090633759398,0.11007906720678273,0.24921998889042274,0.01365840419330877,-0.11123666642441801,0.013639079073607188,-0.2045888777902789,0.012810928945623745,46.71851851851852,1.0028009860802323,True,0.129085190205795,0.011739904483711205,0.01327013042698999,375,,,
P5_001_SAFE_POS,SAFE_POS,0.7,0.2,1.6336280092023103,0.19650292486099596,0.4110553460760422,0.045890281675374345,-0.11274064708391052,0.006750171400056376,-0.2184876461886741,0.03945905455677601,40.402622950819676,1.060974986933168,0.06696342038055259,0.24406817969310501,0.008506594995991046,-0.1156660356029828,0.009209709895042398,-0.22316304250070684,-0.005763235764804198,46.251851851851846,0.8506594995991046,True,0.13919654819084726,0.028310497210425112,0.007430764648381355,375,,,
P5_003_SAFE_POS,SAFE_POS,0.7,0.5,1.5134671511133797,0.07634206677206534,0.3394500846649451,-0.025714979735722787,-0.11238285893978164,0.0071079595441852494,-0.20945714370428847,0.048489557041161646,43.37704918032787,1.1415759077070986,0.14756434115448325,0.25390662710386436,0.01834504240675039,-0.10868948331249753,0.01618626218552767,-0.19969689737596708,0.01770290935993557,47.18518518518518,-2.5714979735722787,False,0.10537521051453713,-0.005276890855476335,0.017214095003758673,375,,,
P5_060_SAFE_POS,SAFE_POS,0.75,0.5,1.5072044073366613,0.07007932299534692,0.3397786785576766,-0.025386385842991244,-0.10933261434559143,0.010158204138375468,-0.20945714370428914,0.04848955704116098,43.99672131147541,0.9476942786051683,-0.04631728794744705,0.205136316656229,-0.030425268040884967,-0.11780183455685125,0.007073910941173947,-0.2615694727571888,-0.044169666021286136,46.666666666666664,-3.0425268040884967,False,0.011341579149069636,-0.027785619461733413,0.007517616184614356,332,,,
P5_059_SAFE_POS,SAFE_POS,0.75,0.35,1.5611126075467099,0.12398752320539552,0.3702800411738272,0.005114976773159308,-0.11022669789140668,0.00926412059256021,-0.21344061426814154,0.04450608647730858,42.81934426229509,0.9283314608404555,-0.06568010571215988,0.20445895057006624,-0.031102634127047724,-0.11964441499325051,0.005231330504774687,-0.2724315358009203,-0.05503172906501763,46.2,-3.1102634127047724,False,0.03419165795415191,-0.011991883033658501,0.005243420120024239,332,,,
P5_058_SAFE_POS,SAFE_POS,0.75,0.2,1.5960108759818519,0.1588857916405375,0.4007081360364275,0.03554307163575965,-0.11206002123709165,0.007430797246875245,-0.22139507519470625,0.03655162555074387,41.641967213114754,0.9040599537885525,-0.08995161276406283,0.2033225981927147,-0.03223898650439927,-0.11415201060519775,0.01072373489282745,-0.28332608709588947,-0.06592628035998682,45.73333333333333,-3.223898650439927,False,0.045271843473919215,0.003375898401265953,0.0037217854031097453,332,,,
