block_days,replicates,prob_sharpe_positive,sharpe_q025,sharpe_median,sharpe_q975,prob_annual_positive,annual_q025,annual_median,annual_q975,prob_top10_positive,top10_q025,top10_median,top10_q975
20,2000,0.792,-0.08313272298647026,0.05358839589967931,0.1897064578848547,0.745,-0.028597502307753146,0.016104616669965544,0.06438707671471959,0.743,-0.013418850667996871,0.0058500866275476154,0.022851306053430567
60,2000,0.8085,-0.0723579592377958,0.05601311802140697,0.20882545203971817,0.7675,-0.026237952597485212,0.01660471789696749,0.07457149779291089,0.722,-0.014033457697788777,0.00555549256167967,0.024944570220805103
120,2000,0.82,-0.07122709197846391,0.06405795627941116,0.21544036538177494,0.7895,-0.025687405888753196,0.019690310706458658,0.07694459189743111,0.7635,-0.011596637486493287,0.006287911313725511,0.02628099124943071
