date,family,winner,diversifier,winner_risk,confidence,budget
2014-01-14,RA_CLOSE,159915.SZ,513100.SH,0.8529173274817372,0.9195167212556092,0.2
2014-01-16,RA_CLOSE,159915.SZ,513100.SH,0.8248343623490868,0.7474584438000308,0.2
2014-01-17,RA_CLOSE,159915.SZ,513100.SH,0.8324726708562001,0.8423441521184784,0.2
2014-01-20,RA_CLOSE,159915.SZ,518880.SH,0.8777573536257828,0.10374506606684895,0.2
2014-02-12,RA_CLOSE,159915.SZ,518880.SH,0.8231181124955529,0.9511152742853821,0.2
2014-02-13,RA_CLOSE,159915.SZ,518880.SH,0.8231181124955529,0.07472400617859187,0.2
2014-09-01,RA_CLOSE,159915.SZ,513100.SH,0.8063405036177581,0.9711957573448728,0.2
2014-09-11,RA_CLOSE,159915.SZ,513100.SH,0.8136224747806182,0.81723263361703,0.2
2014-09-12,RA_CLOSE,159915.SZ,510300.SH,0.8145582785307613,0.9977275419003696,0.2
2015-04-03,RA_CLOSE,159915.SZ,510300.SH,0.822082292836689,0.17282837377053153,0.2
2015-06-12,RA_CLOSE,159915.SZ,510300.SH,0.9194642869324606,0.5906388584004455,0.2
2015-08-04,RA_CLOSE,159915.SZ,513100.SH,0.9233140297100396,0.27115962469545224,0.2
2015-08-05,RA_CLOSE,159915.SZ,513100.SH,0.8778283672429562,0.5445241202465078,0.2
2015-11-02,RA_CLOSE,159915.SZ,513100.SH,0.8016259707072093,0.6799003617624758,0.2
2015-11-04,RA_CLOSE,159915.SZ,513100.SH,0.8029610041819865,0.5673045465267536,0.2
2015-11-06,RA_CLOSE,159915.SZ,510300.SH,0.8558839954586825,0.30988764736213714,0.2
2015-11-09,RA_CLOSE,159915.SZ,513100.SH,0.8331411642251408,0.017376504111698644,0.2
2015-11-10,RA_CLOSE,159915.SZ,510300.SH,0.8029610041819865,0.2771716183954248,0.2
2015-11-11,RA_CLOSE,159915.SZ,510300.SH,0.8257038354155282,0.7242427997739932,0.2
2015-11-17,RA_CLOSE,159915.SZ,510300.SH,0.8103983329915991,0.022299904304927107,0.2
2015-11-18,RA_CLOSE,159915.SZ,510300.SH,0.8204347151335928,0.34595196495812935,0.2
2015-11-19,RA_CLOSE,159915.SZ,510300.SH,0.8431775463671345,0.1387824393262476,0.2
2015-11-20,RA_CLOSE,159915.SZ,510300.SH,0.8103983329915991,0.20331432171995634,0.2
2015-11-23,RA_CLOSE,159915.SZ,510300.SH,0.8204347151335928,0.3761923322078591,0.2
2015-11-24,RA_CLOSE,159915.SZ,510300.SH,0.8659203776006762,0.3195516927075165,0.2
2015-11-25,RA_CLOSE,159915.SZ,510300.SH,0.8431775463671345,0.8905266638844214,0.2
2015-11-26,RA_CLOSE,159915.SZ,510300.SH,0.8204347151335928,0.6252800409111132,0.2
2015-11-27,RA_CLOSE,159915.SZ,513100.SH,0.8204347151335928,0.394880204560884,0.2
2015-12-03,RA_CLOSE,159915.SZ,513100.SH,0.8256328217983547,0.526249447392107,0.2
2016-03-28,RA_CLOSE,159915.SZ,510300.SH,0.8613606898049581,0.7665552620052196,0.2
2016-03-29,RA_CLOSE,159915.SZ,510300.SH,0.842622958995748,0.5826558143422871,0.2
2016-04-18,RA_CLOSE,159915.SZ,513100.SH,0.8418425128923573,0.09207556577974169,0.2
2016-09-26,RA_CLOSE,513100.SH,518880.SH,0.9224719771390275,0.842567576964737,0.2
2016-09-27,RA_CLOSE,513100.SH,518880.SH,0.8656148990551733,0.2528656575992128,0.2
2016-09-28,RA_CLOSE,513100.SH,518880.SH,0.9023992128550402,0.625925695080023,0.2
2016-10-11,RA_CLOSE,513100.SH,159915.SZ,0.9224719771390275,0.3945039017673256,0.2
2016-10-12,RA_CLOSE,513100.SH,159915.SZ,0.8769863146719441,0.11733469928023282,0.2
2016-10-19,RA_CLOSE,513100.SH,510300.SH,0.9033492030179625,0.5023949353159333,0.2
2016-10-20,RA_CLOSE,513100.SH,159915.SZ,0.8341849055671942,0.11916807217182364,0.2
2017-01-10,RA_CLOSE,513100.SH,518880.SH,0.818585845195264,0.7069319083044641,0.2
2017-03-15,RA_CLOSE,513100.SH,159915.SZ,0.8413286764288057,0.8849950191455952,0.2
2017-03-31,RA_CLOSE,513100.SH,518880.SH,0.8724446402221033,0.40200707157793614,0.2
2018-03-23,RA_CLOSE,159915.SZ,518880.SH,0.8131527439707327,0.2941955644743741,0.2
2018-03-26,RA_CLOSE,159915.SZ,518880.SH,0.8131527439707327,0.21417330966322962,0.2
2019-01-21,RA_CLOSE,513100.SH,510300.SH,0.8159251853952615,0.26611998274580667,0.2
2019-02-18,RA_CLOSE,159915.SZ,510300.SH,0.9260684406891732,0.04981622712151526,0.2
2019-02-21,RA_CLOSE,159915.SZ,510300.SH,0.8830974875248916,0.5299267675089202,0.2
2019-02-22,RA_CLOSE,159915.SZ,510300.SH,0.8529173274817372,0.6791479934129806,0.2
2019-02-25,RA_CLOSE,159915.SZ,510300.SH,0.8830974875248916,0.26701101623234197,0.2
2019-03-01,RA_CLOSE,159915.SZ,510300.SH,0.8101253255265393,0.8092465298249708,0.2
2019-03-27,RA_CLOSE,159915.SZ,513100.SH,0.8468677610964113,0.16170047870598764,0.2
2019-03-28,RA_CLOSE,159915.SZ,513100.SH,0.8883483231391631,0.25744036623741196,0.2
2019-09-30,RA_CLOSE,159915.SZ,510300.SH,0.8536977735851279,0.207412984998439,0.2
2019-11-05,RA_CLOSE,159915.SZ,513100.SH,0.8866323446074158,0.10315664739565915,0.2
2019-12-10,RA_CLOSE,159915.SZ,513100.SH,0.8508723489888209,0.8386621267492412,0.2
2020-01-07,RA_CLOSE,159915.SZ,510300.SH,0.8080567534712919,0.8467694091834147,0.2
2020-05-22,RA_CLOSE,513100.SH,518880.SH,0.8791634007177335,0.4719785590076663,0.2
2020-05-25,RA_CLOSE,513100.SH,518880.SH,0.872661875658264,0.8324225205453021,0.2
2020-05-28,RA_CLOSE,513100.SH,518880.SH,0.8435587627458911,0.8978556066676028,0.2
2020-07-16,RA_CLOSE,159915.SZ,518880.SH,0.8287684491562449,0.8028038178446366,0.2
2020-07-17,RA_CLOSE,159915.SZ,518880.SH,0.8401398647730157,0.6951852226258982,0.2
2020-07-20,RA_CLOSE,159915.SZ,518880.SH,0.8401398647730157,0.42827576942958484,0.2
2020-07-21,RA_CLOSE,159915.SZ,510300.SH,0.8401398647730157,0.5808629429413223,0.2
2020-07-22,RA_CLOSE,159915.SZ,510300.SH,0.817397033539474,0.3832476330711717,0.2
2020-07-23,RA_CLOSE,159915.SZ,518880.SH,0.8164612297893309,0.5496480667464896,0.2
2020-07-29,RA_CLOSE,159915.SZ,518880.SH,0.826568625548498,0.43049892282570934,0.2
