candidate,D_sharpe_delta_x,D_annual_delta_x,D_top10_delta_x,V_sharpe_delta_x,V_annual_delta_x,V_top10_delta_x,T_sharpe_delta,T_annual_delta,T_top10_delta,FULL_sharpe_delta,FULL_annual_delta,FULL_top10_delta,all_segments_triple,FULL_5bp_sharpe_delta,FULL_5bp_annual_delta,threshold,delay_days,incumbent_momentum_floor,confidence_cap,minimum_risk_spread,event_days,D_sharpe_delta_y,D_annual_delta_y,D_top10_delta_y,D_event_days,V_sharpe_delta_y,V_annual_delta_y,V_top10_delta_y,V_event_days,robust_score,eligible_DV_triple
P12_13,0.03795632716330566,0.007198527500061669,0.018900204868058823,0.10746005404274761,0.03413182074566623,0.004481404355663313,0.044523388978016776,0.019251716065099345,0.002707175492725228,0.05890793281635953,0.019628401999805645,0.010901922014728893,True,0.06141307166899401,0.0201531748497914,0.75,3,0.05,1.0,0.0,19,0.03795632716330566,0.007198527500061669,0.018900204868058823,6,0.10746005404274761,0.03413182074566623,0.004481404355663313,8,0.7198527500061669,True
P12_14,0.03795632716330566,0.007198527500061669,0.018900204868058823,0.10746005404274761,0.03413182074566623,0.004481404355663313,0.044523388978016776,0.019251716065099345,0.002707175492725228,0.05890793281635953,0.019628401999805645,0.010901922014728893,True,0.06141307166899401,0.0201531748497914,0.75,3,0.05,1.0,0.1,19,0.03795632716330566,0.007198527500061669,0.018900204868058823,6,0.10746005404274761,0.03413182074566623,0.004481404355663313,8,0.7198527500061669,True
P12_21,0.03795632716330566,0.007198527500061669,0.018900204868058823,0.10746005404274761,0.03413182074566623,0.004481404355663313,0.044523388978016776,0.019251716065099345,0.002707175492725228,0.05890793281635953,0.019628401999805645,0.010901922014728893,True,0.06141307166899401,0.0201531748497914,0.75,5,0.05,1.0,0.0,19,0.03795632716330566,0.007198527500061669,0.018900204868058823,6,0.10746005404274761,0.03413182074566623,0.004481404355663313,8,0.7198527500061669,True
P12_22,0.03795632716330566,0.007198527500061669,0.018900204868058823,0.10746005404274761,0.03413182074566623,0.004481404355663313,0.044523388978016776,0.019251716065099345,0.002707175492725228,0.05890793281635953,0.019628401999805645,0.010901922014728893,True,0.06141307166899401,0.0201531748497914,0.75,5,0.05,1.0,0.1,19,0.03795632716330566,0.007198527500061669,0.018900204868058823,6,0.10746005404274761,0.03413182074566623,0.004481404355663313,8,0.7198527500061669,True
P12_15,0.04091425815850691,0.007351417168455221,0.01862553434555425,0.12218670035512547,0.03870952913949943,0.005603724438836832,0.14177730762045848,0.06181971454612323,-0.00797094854021091,0.09705256281566643,0.032656149444809435,0.009496089852847334,False,0.10066389662835484,0.03331435884892331,0.75,3,0.05,1.5,0.0,30,0.04091425815850691,0.007351417168455221,0.01862553434555425,8,0.12218670035512547,0.03870952913949943,0.005603724438836832,9,0.7351417168455221,True
P12_16,0.04091425815850691,0.007351417168455221,0.01862553434555425,0.12218670035512547,0.03870952913949943,0.005603724438836832,0.14177730762045848,0.06181971454612323,-0.00797094854021091,0.09705256281566643,0.032656149444809435,0.009496089852847334,False,0.10066389662835484,0.03331435884892331,0.75,3,0.05,1.5,0.1,30,0.04091425815850691,0.007351417168455221,0.01862553434555425,8,0.12218670035512547,0.03870952913949943,0.005603724438836832,9,0.7351417168455221,True
P12_23,0.04091425815850691,0.007351417168455221,0.01862553434555425,0.11379415653269731,0.03506109597776641,0.004955870343766003,0.10811532969610083,0.04525073914499145,-0.007970948540210826,0.08354802364525926,0.02700109686027563,0.008848235757776546,False,0.08714851902104037,0.027838188404720743,0.75,5,0.05,1.5,0.0,34,0.04091425815850691,0.007351417168455221,0.01862553434555425,8,0.11379415653269731,0.03506109597776641,0.004955870343766003,11,0.7351417168455221,True
P12_24,0.04091425815850691,0.007351417168455221,0.01862553434555425,0.11379415653269731,0.03506109597776641,0.004955870343766003,0.10811532969610083,0.04525073914499145,-0.007970948540210826,0.08354802364525926,0.02700109686027563,0.008848235757776546,False,0.08714851902104037,0.027838188404720743,0.75,5,0.05,1.5,0.1,34,0.04091425815850691,0.007351417168455221,0.01862553434555425,8,0.11379415653269731,0.03506109597776641,0.004955870343766003,11,0.7351417168455221,True
