year,annual_delta,sharpe_delta,top10_delta,triple_win
2014,-0.018880803750348285,0.011791883045575435,0.002198834302357039,False
2015,0.1540169098088442,0.3523503212042298,-0.0031886508367256344,False
2016,-0.00852699173200766,-0.03188321915572501,-0.0022739321294119597,False
2017,0.007857090574256098,0.07760854679091356,0.0009964881876959528,True
2018,-0.03167948652150665,-0.10999545330280602,0.00013518767738052162,False
2019,0.015924763910644124,0.10186288902049556,0.0012385921929628715,True
2020,0.14299024717283437,0.33904878326256516,-0.009188243615000966,False
2021,-0.035393968503894424,-0.18190549105417195,-0.00845037576996166,False
2022,-0.01055196360354671,-0.029279216796582963,0.00016965940606159663,False
2023,0.028056035253187117,0.17046639942544828,0.0020120216823178716,True
2024,-0.006387491263966316,0.050823570992422296,0.001913052034481444,False
2025,0.0012049312976403215,0.039951903400732736,0.0011842561559124304,True
2026,-0.01647280959577313,-0.049355205746751785,0.004092615384063941,False
