gate,value,passed
D sharpe positive,0.10776216039635034,True
D annual_return positive,0.019246748773858124,True
D top10_mean_depth positive,0.004072902907756054,True
V sharpe positive,0.10030089565228517,True
V annual_return positive,0.025864482682419476,True
V top10_mean_depth positive,0.0058486252565179,True
T sharpe positive,0.04599226492789765,True
T annual_return positive,0.003346770362183449,True
T top10_mean_depth positive,0.006646264839129529,True
FULL sharpe positive,0.0832011882996413,True
FULL annual_return positive,0.01720240323948974,True
FULL top10_mean_depth positive,0.003525169093860081,True
phase14 platform pass rate >=50%,0.625,True
FULL 5bp Sharpe positive,0.08403242301072011,True
FULL 5bp annual positive,0.017911491345045327,True
FULL maxDD no worse -1pp,0.010653526575865935,True
rolling36 Sharpe lead >=60%,0.8468468468468469,True
same-window wins >=7,7.0,True
official baseline diff <=1e-12,0.0,True
