candidate,period,days,annual_return,sharpe,max_drawdown,annual_turnover_sum_abs,top10_count,top10_mean_depth,top10_worst_depth,top10_mean_recovery_days
BASE_QM20,D,1220,0.36516506440066787,1.4371250843413144,-0.2579467007454501,44.20327868852459,10,-0.11949081848396689,-0.2579467007454501,49.77777777777778
BASE_QM20,V,972,0.23556158469711397,0.9940115665526154,-0.21739980673590265,47.7037037037037,10,-0.1248757454980252,-0.21739980673590265,49.0
BASE_QM20,T_pseudo_oos,876,0.4081334660239546,1.2648281117085953,-0.25505250836130944,48.32876712328767,10,-0.12239415339535265,-0.25505250836130944,45.111111111111114
BASE_QM20,FULL,3068,0.3344526118113791,1.2383242854200656,-0.2579467007454501,46.49022164276402,10,-0.19594385552375493,-0.2579467007454501,90.6
COND_QM2_T75_W25,D,1220,0.2987944545283543,1.27412121657656,-0.2148158797420927,43.79016393442623,10,-0.11100956169273099,-0.2148158797420927,53.333333333333336
COND_QM2_T75_W25,V,972,0.2867424938352261,1.1966963417967804,-0.21700784892904978,43.2962962962963,10,-0.11771089219125426,-0.21700784892904978,45.6
COND_QM2_T75_W25,T_pseudo_oos,876,0.37190756590836593,1.209942212906615,-0.2705258341305419,46.02739726027397,10,-0.10175895736119298,-0.2705258341305419,38.55555555555556
COND_QM2_T75_W25,FULL,3068,0.31537267463940455,1.2200160715753914,-0.27052583413054165,44.27249022164277,10,-0.18561771897111043,-0.27052583413054165,96.22222222222223
COND_QM2_T75_W50,D,1220,0.24164025226133656,1.1244269938550124,-0.21996781956182165,45.855737704918035,10,-0.10846677252256764,-0.21996781956182165,69.66666666666667
COND_QM2_T75_W50,V,972,0.3189883792706325,1.33479334793569,-0.19278299332523463,43.81481481481482,10,-0.11321808828711635,-0.19278299332523463,51.0
COND_QM2_T75_W50,T_pseudo_oos,876,0.3974101821076652,1.3008957854943035,-0.2688638859677278,47.465753424657535,10,-0.12565585864322645,-0.2688638859677278,45.333333333333336
COND_QM2_T75_W50,FULL,3068,0.3090805433539714,1.2377999047084047,-0.26886388596772814,45.668839634941335,10,-0.18967075659780958,-0.26886388596772814,116.55555555555556
