candidate,selected_by_frozen_validation_rule,full_sharpe,full_sharpe_delta,full_5bp_sharpe_delta,full_annual_return,full_annual_return_delta,full_max_drawdown,full_maxdd_improvement,full_top10_mean_depth,full_top10_mean_improvement,same_window_wins,rolling36_sharpe_lead,sharpe_delta_D,sharpe_delta_V,sharpe_delta_T_pseudo_oos,sharpe_delta_FULL,passes_original_final_gates
FIT_T70_W50,False,1.4156109049695744,0.17728661954950886,0.16400682722364635,0.3227055619963939,-0.0117470498149852,-0.25230050455524367,0.005646196190206454,-0.16347553657018432,0.03246831895357061,10,0.9009009009009009,0.0603137476349449,0.3797950852550257,0.10721850188494719,0.17728661954950886,True
FIT_T80_W60,False,1.369871575816792,0.13154729039672652,0.12321551529621488,0.34132007308526924,0.006867461273890152,-0.2348253179248927,0.023121382820557423,-0.1678466115480214,0.028097243975733516,8,0.9459459459459459,0.10239270445475612,0.15627890311650805,0.16927129835704946,0.13154729039672652,True
FIT_T70_W40,False,1.4156866094334661,0.17736232401340057,0.1681464153144807,0.33512191910275324,0.0006693072913741549,-0.24838448633035837,0.009562214415091752,-0.1683237633079686,0.027620092215786318,10,0.963963963963964,0.0890484946302601,0.3519943989700737,0.10462456667046593,0.17736232401340057,True
FIT_T80_W50,False,1.3724946525585806,0.13417036713851505,0.12778500422275263,0.34697348794776195,0.012520876136382864,-0.23234877531471676,0.02559792543073336,-0.1705867125282314,0.025357142995523524,8,0.954954954954955,0.11763582529460481,0.15588614927657607,0.15807332337818059,0.13417036713851505,True
FIT_T80_W40,False,1.3700943822152736,0.131770096795208,0.12755657413016563,0.3523568230944183,0.017904211283039206,-0.22991432248964128,0.028032378255808843,-0.1741551376495532,0.021788717874201724,8,0.963963963963964,0.1227534782118711,0.15210030994276236,0.14400557754106336,0.131770096795208,True
EQUAL_T75_W50,False,1.290403534110589,0.052079248690523494,0.042914035310043896,0.31663209794513403,-0.017820513866245058,-0.23640205272208825,0.021544648023361868,-0.17693713581996104,0.01900671970379389,8,0.7837837837837838,0.0029829202249045395,0.15662822711259017,0.029731511074352568,0.052079248690523494,True
FIT_T70_W60,True,1.4056402444630993,0.16731595904303376,0.15029422888231592,0.30994689737796444,-0.02450571443341465,-0.2562879279035021,0.0016587728419480419,-0.15345643522159957,0.042487420302155354,9,0.8918918918918919,0.01872326747098807,0.4028721198391786,0.09785660909001415,0.16731595904303376,False
EQUAL_SAME_PARAMETERS,False,1.2724585081361104,0.034134222716044826,0.011594651180911297,0.26925705618337736,-0.06519555562800172,-0.22007518261078707,0.03787151813466305,-0.15865760029434783,0.037286255229407095,8,0.43243243243243246,0.08910106944201934,-0.0335914103049515,0.04538193089190701,0.034134222716044826,False
FIT_T75_W60,False,1.3022816654977476,0.06395738007768204,0.04858472880173248,0.2868359421214297,-0.047616669689949376,-0.27059708849097164,-0.012650387745521519,-0.16956382756093108,0.02638002796282385,7,0.6756756756756757,-0.0018710332632316806,0.11005751062279512,0.10031020236452481,0.06395738007768204,False
FIT_T75_W50,False,1.3197278124107348,0.08140352699066922,0.06935556552237565,0.300333962037139,-0.03411864977424006,-0.2623029983707631,-0.004356297625312977,-0.17806004086822255,0.017883814655532376,7,0.7477477477477478,0.032347311243068555,0.11081672832958855,0.11316916335099769,0.08140352699066922,False
FIT_T75_W40,False,1.3279801232280128,0.08965583780794728,0.0812518840587888,0.3135321384848464,-0.020920473326532685,-0.268807004726633,-0.010860303981182873,-0.18076366672888255,0.015180188794872373,8,0.7477477477477478,0.054967163872303715,0.10742671947567561,0.11426041132721454,0.08965583780794728,False
