local_id,threshold,momentum_cap,budget,trigger_days,D_sharpe_delta,D_annual_delta,D_top10_delta,V_sharpe_delta,V_annual_delta,V_top10_delta,T_sharpe_delta,T_annual_delta,T_top10_delta,FULL_sharpe_delta,FULL_annual_delta,FULL_top10_delta,all_segments_triple,FULL_5bp_sharpe_delta,FULL_5bp_annual_delta
13,0.8,0.2,0.2,260,0.11343146892450484,0.02865416407774246,0.003556220012368369,0.08335678091741505,0.021580143306645816,0.007082295599922128,0.058091708415179966,0.017633631241917413,0.006463134947680402,0.08471493512237793,0.02328590991103696,0.0007756589840890449,True,0.08545690501974601,0.02360953594691151
14,0.8,0.2,0.25,260,0.10446760464460403,0.02224135752814438,0.00408022929343177,0.07979608164397323,0.01926465226512475,0.006984568320498846,0.06877977443103278,0.020298693916329436,0.00784464942938952,0.08356065566332527,0.02072946860595848,0.0019954199315162513,True,0.08361692404838283,0.021006782705067728
22,0.825,0.2,0.2,189,0.08018217469542654,0.017595375435112137,0.017574246777659508,0.07702694736804683,0.020696750448455647,0.007361429236389314,0.04690602216832507,0.0179474456361135,0.006545498055860327,0.06589746902124527,0.018775548233114225,0.011223405197857583,True,0.06625986745735934,0.018875292391534515
15,0.8,0.2,0.3,260,0.09436120314498697,0.015808339510897218,0.0028654005788205095,0.07574505980057833,0.01692202956368294,0.006891810635595699,0.07914878736754782,0.022927729488584125,0.00923070865062503,0.08179488934131807,0.01813666826394944,0.003032639630778683,True,0.08118957243352098,0.01836862409462192
23,0.825,0.2,0.25,189,0.07312107893510977,0.012962161031517372,0.01739454693947333,0.07204124304939208,0.01817532252648424,0.014337046015295327,0.04286343315041874,0.014945020502449502,0.006725341148438174,0.06021444137401244,0.015298231573834808,0.011713887167019932,True,0.05997431436328693,0.015356152417153934
24,0.825,0.2,0.3,189,0.0652353958340317,0.008307692472019346,0.019896887420973536,0.06663869410725887,0.01563269209543683,0.013857651134245835,0.038537064166271895,0.011922580307460073,0.006521266904615047,0.054047268596807196,0.011799433328195663,0.011023619577262833,True,0.0532222853181783,0.01181633844449781
16,0.8,0.25,0.2,300,0.10020932007029115,0.024422214811927745,0.009032231055901382,-0.03394539534208196,-0.017288942241264316,0.005230904891146054,0.09631839716968527,0.033865079313803115,0.008388018126323532,0.05948739780065582,0.012565341675312647,0.008707901027150883,False,0.05934977555332077,0.012907587591375336
17,0.8,0.25,0.25,300,0.08855801782560602,0.016359818016523642,0.010141982676846892,-0.027243220340978258,-0.016860291992321308,0.005717346822924241,0.10766895353431982,0.036818797755926,0.009838251603488987,0.06049017488873032,0.010387373874987782,0.010229558880004541,False,0.05950645571063573,0.010655916714070068
25,0.825,0.25,0.2,224,0.08051174158916852,0.018624954447369113,0.006648529856359109,-0.0399956692142891,-0.0181450218126451,0.005513705405002928,0.08157391726599639,0.03342023098979041,0.008306499332171605,0.044686954169509185,0.009909951981940113,0.006736612835909872,False,0.044446298359924974,0.010052009698933606
18,0.8,0.25,0.3,300,0.07555646821571305,0.008286838369251592,0.010275045300345786,-0.020903767734261947,-0.01646548533428116,0.006202623874750762,0.11870497938837676,0.039738143124198766,0.011293084193253991,0.060867404301685024,0.008168065584985174,0.011438615560334098,False,0.05906212163011948,0.008364049877092716
