candidate,date,threshold,leg,budget,winner,winner_risk,diversifier,diversifier_risk
COND_QM2_T75_W25,2013-11-27,0.75,QM2,0.25,159915.SZ,0.75,513100.SH,0.59375
COND_QM2_T75_W25,2013-12-16,0.75,QM2,0.25,159915.SZ,0.78125,513100.SH,0.59375
COND_QM2_T75_W25,2014-01-14,0.75,QM2,0.25,159915.SZ,0.8125,513100.SH,0.5
COND_QM2_T75_W25,2014-01-15,0.75,QM2,0.25,159915.SZ,0.8125,513100.SH,0.625
COND_QM2_T75_W25,2014-01-16,0.75,QM2,0.25,159915.SZ,0.78125,513100.SH,0.625
COND_QM2_T75_W25,2014-01-17,0.75,QM2,0.25,159915.SZ,0.8125,513100.SH,0.59375
COND_QM2_T75_W25,2014-01-20,0.75,QM2,0.25,159915.SZ,0.84375,518880.SH,0.46875
COND_QM2_T75_W25,2014-01-21,0.75,QM2,0.25,159915.SZ,0.875,518880.SH,0.390625
COND_QM2_T75_W25,2014-01-22,0.75,QM2,0.25,159915.SZ,0.8125,518880.SH,0.4375
COND_QM2_T75_W25,2014-01-23,0.75,QM2,0.25,159915.SZ,0.875,518880.SH,0.453125
COND_QM2_T75_W25,2014-01-24,0.75,QM2,0.25,159915.SZ,0.8125,518880.SH,0.53125
COND_QM2_T75_W25,2014-01-27,0.75,QM2,0.25,159915.SZ,0.8125,518880.SH,0.5
COND_QM2_T75_W25,2014-01-28,0.75,QM2,0.25,159915.SZ,0.796875,518880.SH,0.421875
COND_QM2_T75_W25,2014-01-29,0.75,QM2,0.25,159915.SZ,0.84375,518880.SH,0.40625
COND_QM2_T75_W25,2014-02-07,0.75,QM2,0.25,159915.SZ,0.78125,518880.SH,0.5
COND_QM2_T75_W25,2014-02-11,0.75,QM2,0.25,159915.SZ,0.75,518880.SH,0.5
COND_QM2_T75_W25,2014-02-12,0.75,QM2,0.25,159915.SZ,0.78125,518880.SH,0.46875
COND_QM2_T75_W25,2014-02-13,0.75,QM2,0.25,159915.SZ,0.78125,518880.SH,0.53125
COND_QM2_T75_W25,2014-02-14,0.75,QM2,0.25,159915.SZ,0.75,518880.SH,0.5625
COND_QM2_T75_W25,2014-02-17,0.75,QM2,0.25,159915.SZ,0.78125,518880.SH,0.53125
COND_QM2_T75_W25,2014-02-18,0.75,QM2,0.25,159915.SZ,0.765625,518880.SH,0.484375
COND_QM2_T75_W25,2014-02-24,0.75,QM2,0.25,159915.SZ,0.75,518880.SH,0.5625
COND_QM2_T75_W25,2014-06-13,0.75,QM2,0.25,159915.SZ,0.78125,513100.SH,0.46875
COND_QM2_T75_W25,2014-06-16,0.75,QM2,0.25,159915.SZ,0.78125,513100.SH,0.46875
COND_QM2_T75_W25,2014-09-01,0.75,QM2,0.25,159915.SZ,0.75,513100.SH,0.515625
COND_QM2_T75_W25,2014-09-11,0.75,QM2,0.25,159915.SZ,0.75,513100.SH,0.5625
COND_QM2_T75_W25,2014-09-12,0.75,QM2,0.25,159915.SZ,0.75,510300.SH,0.5
COND_QM2_T75_W25,2014-09-15,0.75,QM2,0.25,159915.SZ,0.78125,510300.SH,0.46875
COND_QM2_T75_W25,2014-12-09,0.75,QM2,0.25,510300.SH,0.8125,518880.SH,0.546875
COND_QM2_T75_W25,2014-12-10,0.75,QM2,0.25,510300.SH,0.84375,518880.SH,0.515625
COND_QM2_T75_W25,2014-12-11,0.75,QM2,0.25,510300.SH,0.8125,159915.SZ,0.71875
COND_QM2_T75_W25,2014-12-12,0.75,QM2,0.25,510300.SH,0.8125,159915.SZ,0.71875
COND_QM2_T75_W25,2014-12-15,0.75,QM2,0.25,510300.SH,0.84375,159915.SZ,0.71875
COND_QM2_T75_W25,2014-12-16,0.75,QM2,0.25,510300.SH,0.875,159915.SZ,0.65625
COND_QM2_T75_W25,2014-12-17,0.75,QM2,0.25,510300.SH,0.875,159915.SZ,0.640625
COND_QM2_T75_W25,2014-12-18,0.75,QM2,0.25,510300.SH,0.796875,159915.SZ,0.640625
COND_QM2_T75_W25,2014-12-19,0.75,QM2,0.25,510300.SH,0.8125,159915.SZ,0.625
COND_QM2_T75_W25,2014-12-22,0.75,QM2,0.25,510300.SH,0.78125,518880.SH,0.453125
COND_QM2_T75_W25,2014-12-25,0.75,QM2,0.25,510300.SH,0.8125,518880.SH,0.453125
COND_QM2_T75_W25,2014-12-26,0.75,QM2,0.25,510300.SH,0.8125,518880.SH,0.484375
COND_QM2_T75_W25,2014-12-29,0.75,QM2,0.25,510300.SH,0.84375,518880.SH,0.453125
COND_QM2_T75_W25,2014-12-30,0.75,QM2,0.25,510300.SH,0.8125,513100.SH,0.578125
COND_QM2_T75_W25,2014-12-31,0.75,QM2,0.25,510300.SH,0.84375,518880.SH,0.453125
COND_QM2_T75_W25,2015-01-05,0.75,QM2,0.25,510300.SH,0.84375,518880.SH,0.453125
COND_QM2_T75_W25,2015-01-07,0.75,QM2,0.25,510300.SH,0.75,518880.SH,0.53125
COND_QM2_T75_W25,2015-02-16,0.75,QM2,0.25,159915.SZ,0.8125,513100.SH,0.546875
COND_QM2_T75_W25,2015-03-16,0.75,QM2,0.25,159915.SZ,0.75,510300.SH,0.65625
COND_QM2_T75_W25,2015-04-03,0.75,QM2,0.25,159915.SZ,0.75,510300.SH,0.546875
COND_QM2_T75_W25,2015-05-06,0.75,QM2,0.25,159915.SZ,0.90625,510300.SH,0.6875
COND_QM2_T75_W25,2015-05-07,0.75,QM2,0.25,159915.SZ,0.796875,510300.SH,0.703125
COND_QM2_T75_W25,2015-05-08,0.75,QM2,0.25,159915.SZ,0.84375,510300.SH,0.6875
