candidate,period,days,annual_return,sharpe,max_drawdown,annual_turnover_sum_abs,top10_count,top10_mean_depth,top10_worst_depth,top10_mean_recovery_days
BASE_QM20,D,1220,0.36516506440066787,1.4371250843413144,-0.2579467007454501,44.20327868852459,10,-0.11949081848396689,-0.2579467007454501,49.77777777777778
BASE_QM20,V,972,0.23556158469711397,0.9940115665526154,-0.21739980673590265,47.7037037037037,10,-0.1248757454980252,-0.21739980673590265,49.0
BASE_QM20,T_pseudo_oos,876,0.4081334660239546,1.2648281117085953,-0.25505250836130944,48.32876712328767,10,-0.12239415339535265,-0.25505250836130944,45.111111111111114
BASE_QM20,FULL,3068,0.3344526118113791,1.2383242854200656,-0.2579467007454501,46.49022164276402,10,-0.19594385552375493,-0.2579467007454501,90.6
FIT_T70_W40,D,1220,0.3355453934988275,1.5261735789715745,-0.2166269766583151,41.559344262295085,10,-0.10705238938041753,-0.2166269766583151,59.111111111111114
FIT_T70_W40,V,972,0.3159166883517739,1.346005965522689,-0.20647397926991162,45.940740740740736,10,-0.10620409229639734,-0.20647397926991162,48.6
FIT_T70_W40,T_pseudo_oos,876,0.35616095622837785,1.3694526783790613,-0.2483844863303596,46.83287671232877,10,-0.09443542174397541,-0.2483844863303596,29.666666666666668
FIT_T70_W40,FULL,3068,0.33512191910275324,1.4156866094334661,-0.24838448633035837,44.45319426336376,10,-0.1683237633079686,-0.24838448633035837,105.88888888888889
FIT_T70_W50,D,1220,0.31613406253240983,1.4974388319762593,-0.20986635742302073,42.13770491803279,10,-0.10625224552352242,-0.20986635742302073,59.888888888888886
FIT_T70_W50,V,972,0.3174250953888724,1.373806651807641,-0.19597471447555925,46.407407407407405,10,-0.10341007607475079,-0.19597471447555925,56.9
FIT_T70_W50,T_pseudo_oos,876,0.33783723336061944,1.3720466135935425,-0.2523005045552449,47.465753424657535,10,-0.09156517438187901,-0.2523005045552449,29.444444444444443
FIT_T70_W50,FULL,3068,0.3227055619963939,1.4156109049695744,-0.25230050455524367,45.011734028683186,10,-0.16347553657018432,-0.25230050455524367,115.22222222222223
