year,annual_delta,sharpe_delta,top10_delta,triple_win
2014,-0.015071186904355383,0.032611882420516825,0.0011901598929022206,False
2015,0.16346438255520712,0.34063390642017755,-0.001670380678254979,False
2016,-0.010132296717724865,-0.03654460045061858,-0.001973099063082878,False
2017,-0.004164095270798196,0.020183931440833858,-0.0005245394216344193,False
2018,-0.01489693006646009,-0.035073824254877595,0.003759194600792562,False
2019,0.17829844651750082,0.5930277043881942,-0.0030975305063946426,False
2020,-0.04198248489547329,-0.09979435090037547,0.0060835637358724465,False
2021,-0.025651037634037532,-0.1281153936194635,-0.005409992831664441,False
2022,0.0020645473571341277,0.0312465334386951,2.7755575615628914e-17,True
2023,0.004700196098679221,0.028583557246430913,0.00037098903036379693,True
2024,-0.042515113638957214,-0.0549172203499666,-0.00091056421336589,False
2025,0.10280264403024564,0.3350581860988566,0.0036563596422969913,True
2026,0.005908646903959314,0.05619423656834788,0.005159466640475063,True
