gate,value,passed
D/V/T/FULL 1bp Sharpe nonnegative,D=0.0000;V=0.0084;T_pseudo_oos=0.0000;FULL=0.0027,True
FULL 5bp Sharpe nonnegative,0.0028481361877734646,True
FULL top10 mean improves >=1pp,0.0009108706923523502,False
FULL worst drawdown improves >=0.5pp,0.0,False
baseline top10 same-window wins >=7,1,False
candidate top10 no worse than baseline worst -2pp,0.0,True
rolling36 Sharpe lead >=60%,0.8918918918918919,True
official baseline max daily diff <=1e-12,0.0,True
