ts_code,fund_daily_rows,fund_daily_start,fund_daily_end,amount_nonnull,fund_share_rows,fund_share_start,fund_share_end,fund_nav_rows,fund_nav_announcement_start,fund_nav_announcement_end,unit_nav_nonnull
510300.SH,3306,2013-01-04,2026-08-14,3306,3318,2013-01-04,2026-08-14,3291,2013-01-05,2026-08-14,3291
159915.SZ,3305,2013-01-04,2026-08-14,3305,3311,2013-01-04,2026-08-14,3288,2013-01-05,2026-08-14,3288
513100.SH,3222,2013-05-15,2026-08-14,3222,2874,2013-04-25,2026-08-14,3161,2013-04-26,2026-08-14,3161
518880.SH,3173,2013-07-29,2026-08-14,3173,3014,2013-07-18,2026-08-14,3159,2013-07-19,2026-08-14,3159
