block_days,replicates,prob_sharpe_positive,sharpe_q025,sharpe_median,sharpe_q975,prob_annual_positive,annual_q025,annual_median,annual_q975,prob_top10_positive,top10_q025,top10_median,top10_q975
20,2000,0.9405,-0.019656193453160244,0.08202859597415307,0.2094312951313375,0.8335,-0.01801017775727696,0.01959125346400814,0.06436747809958542,0.785,-0.0100243617525803,0.0048702044724453775,0.018911403562083127
60,2000,0.9725,-0.0027552777467080244,0.08986166848984657,0.21527769457334403,0.901,-0.010126888881608436,0.022642906019514575,0.06836414054238316,0.764,-0.00945994580976129,0.0042990832153569775,0.01829816548641264
120,2000,0.9665,-0.0046724400525300054,0.09888166539375498,0.21762040760764995,0.907,-0.008921428626240912,0.025348375097538622,0.06840198857637393,0.781,-0.007236634690050077,0.004357929082330361,0.01719698752080712
