window_end,baseline_sharpe,candidate_sharpe,candidate_leads
2017-02-09,1.4540269671948867,1.592548317440269,True
2017-03-10,1.3810988746224735,1.5313663677688156,True
2017-04-12,1.3056827022020154,1.5018675807013644,True
2017-05-12,1.2908910835518335,1.4873917451538123,True
2017-06-14,1.4254494847049464,1.6264156580273987,True
2017-07-13,1.3928318345356012,1.5928064032989453,True
2017-08-11,1.4548039238056452,1.6382822421314929,True
2017-09-11,1.406542605668259,1.5891568688254856,True
2017-10-17,1.3728024167490775,1.5292723345287567,True
2017-11-15,1.3645578903168318,1.5196826281559694,True
2017-12-14,1.4227297622514936,1.5783761482367151,True
2018-01-15,1.2372958520719182,1.393998415245354,True
2018-02-13,1.0413149850879846,1.1979519784358432,True
2018-03-21,1.2067696362290994,1.3731384265064852,True
2018-04-23,1.02571034652644,1.0852265932503953,True
2018-05-24,0.960975963098168,1.0254216069193924,True
2018-06-25,0.8026415163413967,0.8925688770682744,True
2018-07-24,0.9767902267868361,1.0787018342984098,True
2018-08-22,1.0619876777122914,1.1694934316125973,True
2018-09-20,0.9995901922696834,1.1035113593418215,True
2018-10-29,0.9337135326197259,1.0353905567116604,True
2018-11-27,0.7107791145950325,0.841411358239353,True
2018-12-26,0.904081917284217,0.9088057135942673,True
2019-01-28,1.1881440744675429,1.1640222321351503,False
2019-03-05,1.7605666807474154,1.7222365009688554,False
2019-04-03,1.519580728631467,1.5662059161213335,True
2019-05-08,1.3908133783601515,1.5858432406743304,True
2019-06-06,1.3668763695489077,1.5635885270990797,True
2019-07-08,1.3400332418897365,1.5345181728399575,True
2019-08-06,1.4571805378313205,1.6566387377534968,True
2019-09-04,1.4879558392561467,1.6854036199998965,True
2019-10-11,1.4288361824419744,1.6229690175059497,True
2019-11-11,1.4425227135533176,1.649078676733165,True
2019-12-10,1.4961353897077805,1.7147922152780537,True
2020-01-09,1.644824318759851,1.84843439925043,True
2020-02-17,1.6315083341924606,1.8157054385168971,True
2020-03-17,1.2225823666520708,1.4132354423301845,True
2020-04-16,1.341301036898031,1.5358447111404459,True
2020-05-20,1.2966981963007067,1.4654706901181753,True
2020-06-18,1.3207618462424113,1.477546134286557,True
2020-07-21,1.3344408446299667,1.4849921606115684,True
2020-08-19,1.144612929099091,1.3105922606977047,True
2020-09-17,1.2127994633772934,1.331243497406378,True
2020-10-26,1.100124950673044,1.2150388580464182,True
2020-11-24,1.1483382614893272,1.2633994610493353,True
2020-12-23,1.1823032408451017,1.2883832427082598,True
2021-01-22,1.2168340429158262,1.2935420042786867,True
2021-03-01,1.0637568352369795,1.1323483777134016,True
2021-03-30,1.1098228643307841,1.1859289733341936,True
2021-04-29,1.132801955020333,1.2101774209575111,True
2021-06-02,1.1182659481296726,1.2113620995977883,True
2021-07-02,1.1558509166700104,1.2180817304542724,True
2021-08-02,1.011576491916176,1.0995239972919122,True
2021-08-31,0.886501659689627,0.9743290631243392,True
2021-10-08,0.9203785994180728,1.0095949444225385,True
2021-11-08,0.975845920808816,1.0659805678498766,True
2021-12-07,1.007403781856701,1.0987194570012757,True
2022-01-06,1.0165219885755568,1.1085623953065173,True
2022-02-11,0.9344293634676825,1.025257108192305,True
2022-03-14,1.0331899427258064,1.1249915595052267,True
2022-04-14,0.6618407436355519,0.7778651830274451,True
2022-05-18,0.5825589845254928,0.6204795989970276,True
2022-06-17,0.8122868162425112,0.7392572740591639,False
2022-07-18,0.8474993673560827,0.776015899804017,False
2022-08-16,0.9962028547142852,0.9282684770340157,False
2022-09-15,0.8152413444364814,0.7431367561077497,False
2022-10-21,0.733636947001065,0.6591955232836593,False
2022-11-21,0.8240861722656203,0.7561716878381818,False
2022-12-20,0.8464569593147835,0.7706696295122901,False
2023-01-19,0.887578086191214,0.8106241382593518,False
2023-02-24,0.781488917435759,0.719099956013412,False
2023-03-27,0.6823584564810792,0.6149440973633828,False
2023-04-26,0.9219581761331443,0.8593523534426449,False
2023-05-30,0.8628110664601772,0.7982313858198637,False
2023-06-30,1.0011971751145132,0.9409736993774165,False
2023-07-31,0.9780798185497888,0.9282850248037499,False
2023-08-29,0.8959753055161255,0.8462083168056861,False
2023-09-27,0.9729958912836632,0.9025573917957872,False
2023-11-03,0.8281395226249755,0.7888446001139727,False
2023-12-04,0.83274121435454,0.8012732214403121,False
2024-01-03,0.7597546167054126,0.7263374591496532,False
2024-02-01,0.7277464097861504,0.7061387055237637,False
2024-03-11,0.8304953824181004,0.8527971395169007,True
2024-04-11,1.1363951952964817,1.1318248242538267,False
2024-05-15,1.14099061147014,1.1247956991931167,False
2024-06-14,1.1092458690601288,1.0925120815406115,False
2024-07-15,1.2168281299766102,1.2019931305547282,False
2024-08-13,1.0675746244872975,1.0915949369809832,True
2024-09-11,1.0836255043188774,1.0629330178660361,False
2024-10-21,1.2193146578607557,1.2019480029739062,False
2024-11-19,1.114579362995311,1.0990832469978427,False
2024-12-18,1.1121493190862655,1.096619166366854,False
2025-01-17,1.1152991114648558,1.1016449571667317,False
2025-02-25,1.201853024702203,1.1861722563514672,False
2025-03-26,1.1967590168913995,1.1812878921305705,False
2025-04-25,1.224774186372579,1.2096094425451962,False
