candidate,sharpe_delta_D,sharpe_delta_V,min_sharpe_delta_DV,dv_top10_mean_improvement,dv_worst_drawdown_improvement,annual_turnover_DV,trigger_days_DV,eligible_DV
COND_SAFE_T80_W50,0.08734221543471499,0.09067111253966564,0.08734221543471499,0.020837981779801645,0.040546894009547474,46.9051094890511,210,True
COND_SAFE_T75_W50,0.0029829202249045395,0.15662822711259017,0.0029829202249045395,0.019601843618410775,0.0424226309375102,45.870437956204384,387,True
COND_SAFE_T75_W25,0.03312214700198246,0.13948227835287985,0.03312214700198246,0.01516143118194127,0.03592109767666585,44.54835766423358,387,True
COND_SAFE_T80_W25,0.07959005933082786,0.04032124500883516,0.04032124500883516,0.013592409774590891,0.040546894009547585,45.870437956204384,210,True
COND_QM2_T80_W50,-0.14747594993649527,0.18614033411373965,-0.14747594993649527,0.01937556007562488,0.040546894009547474,45.870437956204384,210,False
COND_QM2_T75_W50,-0.3126980904863019,0.3407817813830746,-0.3126980904863019,0.015942830777339906,0.037978881183628466,44.9507299270073,387,False
COND_QM2_T75_W25,-0.16300386776475428,0.20268477524416506,-0.16300386776475428,0.012540374150471711,0.04093885181640067,43.57116788321168,387,False
COND_QM2_T80_W25,-0.031507419192735364,0.1443446439494923,-0.031507419192735364,0.011715478899361892,0.04054689400954725,44.893248175182485,210,False
