model,period,rows,dates,mse,mean_daily_pearson_ic,mean_daily_spearman_ic,highest_risk_hit_rate,mse_delta_vs_equal,spearman_delta_vs_equal,hit_rate_delta_vs_equal
equal_weight,D_fit,960,240,0.04742482503255208,0.39281647518984364,0.3715718425322928,0.5208333333333334,0.0,0.0,0.0
equal_weight,V_unseen_by_fit,732,191,0.04765930361073163,0.3667852273210498,0.34649411178965406,0.5445026178010471,0.0,0.0,0.0
equal_weight,T_unseen_by_fit,684,171,0.04044739126461988,0.5144595857802204,0.49239210787030085,0.5672514619883041,0.0,0.0,0.0
equal_weight,FULL,2408,610,0.04546060206574151,0.42311325816023637,0.4035652608986456,0.5442622950819672,0.0,0.0,0.0
fitted_weight,D_fit,960,240,0.04209961207405863,0.5007030506091412,0.4780940914365249,0.65,-0.005325212958493454,0.10652224890423212,0.12916666666666665
fitted_weight,V_unseen_by_fit,732,191,0.045517321904176754,0.4253762295527478,0.3930722197348701,0.5497382198952879,-0.0021419817065548782,0.04657810794521605,0.005235602094240788
fitted_weight,T_unseen_by_fit,684,171,0.03626223997797567,0.5842115706093522,0.563527816919938,0.6140350877192983,-0.004185151286644213,0.07113570904963717,0.04678362573099415
fitted_weight,FULL,2408,610,0.041396307939582495,0.504340937113537,0.47948841160194816,0.6065573770491803,-0.004064294126159017,0.07592315070330258,0.06229508196721312
