year,annual_delta,sharpe_delta,top10_delta,triple_win
2014,0.020929712458059635,0.10001659236673621,0.000595435306002777,True
2015,0.2124150001668088,0.39469628934981627,-0.0015118129668521413,False
2016,-0.11302275441384735,-0.5978662721688791,0.00012043045395463553,False
2017,-0.013352999317141512,-0.07608585076736452,-0.00043555681518685566,False
2018,-0.03307174656622558,-0.11321653589986869,0.003269754248069204,False
2019,0.0026024378333757703,0.016578251799329147,-0.00013990639312583958,False
2020,-0.01026284447957937,-0.021328247485125407,0.0004129485521288945,False
2021,0.00651597277276994,0.04828293073236828,-0.00303268787624323,False
2022,0.0016783102831512409,0.02565452396157686,2.7755575615628914e-17,True
2023,0.007590095151251752,0.04624289917728486,0.0005990903318529445,True
2024,0.19232663009251438,0.2672475668118086,-0.0004616363300599946,False
2025,0.10850741151193244,0.27246038819321705,-0.00035527497300041205,False
2026,0.01608064204813786,0.06044370379572128,0.002694048708207261,True
