candidate,sharpe_delta_D,sharpe_delta_V,min_sharpe_delta_DV,dv_top10_mean_improvement,dv_worst_drawdown_improvement,annual_turnover_DV,eligible_DV
LIQUIDITY_25,0.0,0.00835950213194614,0.0,0.0015713729277768707,0.0,45.52554744525548,True
MULTIFIELD_25,0.0,0.00835950213194614,0.0,0.0015713729277768707,0.0,45.52554744525548,True
DOWNSIDE_25,0.0,0.0,0.0,0.0,0.0,45.75547445255475,True
FLOW_PREMIUM_25,0.0,0.0,0.0,0.0,0.0,45.75547445255475,True
RANGE_25,0.0,0.0,0.0,0.0,0.0,45.75547445255475,True
RANGE_50,-0.5664068891850083,-0.005736752269346002,-0.5664068891850083,0.019871359650591086,-0.034960684573598244,48.51459854014599,False
DOWNSIDE_50,-0.38129915433103045,0.317247854926742,-0.38129915433103045,0.011729544243619244,-1.1102230246251565e-16,49.43430656934307,False
MULTIFIELD_50,-0.07995128277164998,-0.014097158426201184,-0.07995128277164998,0.011674410225855969,-0.02371039517892759,46.44525547445256,False
MULTIFIELD_VETO90,-0.27740113561350577,0.5585747387261278,-0.27740113561350577,0.010154022933554274,-0.004188042250809043,49.89416058394161,False
LIQUIDITY_50,-0.08413937792327975,0.2148852577858128,-0.08413937792327975,0.0058296205997712125,5.551115123125783e-16,48.05474452554745,False
FLOW_PREMIUM_50,-0.346578098060913,-0.033700099111520054,-0.346578098060913,0.0025942224974748185,-0.14351052053025137,57.251824817518255,False
MULTIFIELD_VETO80,-0.5383334682802179,0.42388012391005214,-0.5383334682802179,-0.0005392258708465381,-0.05038128565645361,50.35401459854015,False
