peak_date,trough_date,recovery_date,depth,recovery_days,candidate_same_window_return,same_window_improvement,candidate_improves
2015-06-03,2015-07-08,2015-10-23,-0.2579467007454501,70.0,-0.18201534186088608,0.07593135888456404,True
2025-10-17,2026-04-03,2026-06-01,-0.2550525083613103,37.0,-0.25628792790350197,-0.0012354195421916403,False
2024-10-08,2024-10-17,2025-07-22,-0.25504107542942467,186.0,-0.08955387864463249,0.16548719678479218,True
2015-10-27,2016-01-05,2017-03-06,-0.2444509762898026,282.0,-0.20318898134360064,0.041261994946201974,True
2020-02-13,2020-03-17,2020-07-09,-0.21739980673590276,76.0,-0.185369360865133,0.03203044587076975,True
2020-09-03,2021-03-08,2021-07-07,-0.17333360905179496,82.0,-0.1456064801606194,0.027727128891175568,True
2019-03-12,2019-05-14,2019-08-26,-0.150458054555758,73.0,-0.04859804734277395,0.10186000721298405,True
2022-03-09,2022-05-24,2022-06-24,-0.13769507655339053,22.0,-0.13125397616991796,0.006441100383472564,True
2023-07-19,2023-12-05,2024-03-18,-0.1370867766835273,67.0,-0.11211317430876833,0.024973602374758985,True
2020-07-13,2020-08-12,2020-08-27,-0.1309739708311879,11.0,-0.0927003614110753,0.0382736094201126,True
