local_id,threshold,momentum_cap,maximum_budget,signal_days,D_sharpe_delta,D_annual_delta,D_top10_delta,V_sharpe_delta,V_annual_delta,V_top10_delta,T_sharpe_delta,T_annual_delta,T_top10_delta,FULL_sharpe_delta,FULL_annual_delta,FULL_top10_delta,all_segments_triple,FULL_5bp_sharpe_delta,FULL_5bp_annual_delta
16,0.825,0.275,0.2,232,0.00236885038519552,0.004304975592161364,0.006142167496145018,0.05249036125102824,0.014610554625292371,0.015565914431750857,0.20711203981225834,0.094464721764697,0.0057914063309356945,0.08701252470347653,0.03175280892868737,0.011420602399218771,True,0.08990050134739991,0.03213492097293558
25,0.835,0.275,0.2,197,0.012334018306651817,0.007486742826838366,0.006232817320086528,0.11189850834255244,0.03230828717189205,0.006820527740839313,0.09171538632883003,0.04247151504516311,0.002037603361417492,0.06914943216371361,0.02537587923067286,0.005804273231360457,True,0.07108611756600491,0.025539946927156887
26,0.835,0.275,0.25,197,0.010608061959420212,0.005551099888451594,0.006412296306217979,0.11533906709870234,0.03259620880825298,0.007028130735403426,0.0919944845025431,0.04192948451076006,0.002224036675576288,0.06947563564893566,0.024565775466925288,0.006052777842963375,True,0.07106673657153362,0.024684806551849237
27,0.835,0.275,0.3,197,0.00868396156184148,0.0036075011348686292,0.006473288147235995,0.1186892627079873,0.03287632727421008,0.007235594057545383,0.09221082199367103,0.041381110644665986,0.002328386860215498,0.06968739073703545,0.023747517463449164,0.0061823510461517794,True,0.07093693466590367,0.023821696343877763
13,0.825,0.25,0.2,226,0.0049939052236991355,0.006038627794689555,0.006038528941589932,0.05136452240705214,0.014694118529959388,0.015506866152604618,0.10810377838605856,0.04786876696551867,0.005616281900065245,0.05459101365861074,0.020229603331733736,0.011364997158896883,True,0.05766354502833382,0.02085349846374762
14,0.825,0.25,0.25,226,0.0029710029924168158,0.00412822217758313,0.006064817586867735,0.051672339361720554,0.014116152991698439,0.015470822388717748,0.1073840160593269,0.046830793426933415,0.005835754849828928,0.05360140986222883,0.01900481298188117,0.01130840056982546,True,0.056347333092946705,0.019593923764546606
15,0.825,0.25,0.3,226,0.0007668740918724826,0.002210900055128917,0.006090803694882463,0.0518891750105549,0.013531471989700394,0.015434691191809194,0.10658603845151404,0.04578586495223225,0.006055020549469714,0.05249678601038865,0.01777292508508599,0.011250968234269992,True,0.054920020250225576,0.018327450549677993
17,0.825,0.275,0.25,232,-0.0003948293753293086,0.001960376494462235,0.006194277511393245,0.05304770152519944,0.014008677233059652,0.01554445897237651,0.20650474218702786,0.09326288680758998,0.006054668763559493,0.08587810272270935,0.03030209971848752,0.011377544729708505,False,0.08839110686515461,0.03064498075578803
18,0.825,0.275,0.3,232,-0.003375237685483423,-0.00039142487121757163,0.0062460498827807825,0.053500093164590035,0.013398880781660294,0.015522846813122743,0.20580507928068648,0.09205312519735065,0.006235679252751883,0.08460717107807181,0.028843330591535654,0.011333506555452427,False,0.08674953853972078,0.029147232392415123
22,0.835,0.25,0.2,191,0.015140949250139313,0.009226253398651352,0.006088473949940512,0.10999746956119372,0.032161263828084374,0.006601697473798879,-0.008162288858709399,-0.002833322391882831,0.0019355535556853376,0.03636939133896955,0.013741104256818515,0.00554831344645218,False,0.03848347891405268,0.01415211270368788
