local_id,family,threshold,confidence_cap,beta,budget,trigger_days,D_sharpe_delta,D_annual_delta,D_top10_delta,V_sharpe_delta,V_annual_delta,V_top10_delta,T_sharpe_delta,T_annual_delta,T_top10_delta,FULL_sharpe_delta,FULL_annual_delta,FULL_top10_delta,all_segments_triple,FULL_5bp_sharpe_delta,FULL_5bp_annual_delta
41,RA_CLOSE,0.8,1.0,0.75,0.2,131,0.013128354782224072,0.0035061047497562114,0.005230825821754381,0.013965923037744354,0.0002607766165867442,0.005642472934003009,0.18074991799551876,0.08232151578672542,0.0036720686089492804,0.07040394925542848,0.0232997802374455,0.005384370684512918,True,0.07282217842628658,0.023855143571088533
18,RA_CLOSE,0.775,1.0,1.0,0.25,159,0.08212764617692536,0.0235426688639091,0.0053308480428998495,-0.07863507156931182,-0.025826502375195348,0.008286187280829013,0.21790781117552838,0.0958767988885203,0.007181016722661651,0.08003091403065632,0.02548055391820281,0.0026284414813360912,False,0.08272590508805067,0.02621399533358182
15,RA_CLOSE,0.775,1.0,0.75,0.25,159,0.07920470121603573,0.022611742229579512,0.0053308480428998495,-0.07046849760900697,-0.02352488249621576,0.008286187280829013,0.211761388067073,0.09396087284734667,0.006795128029691649,0.07928714442232065,0.025441909321436862,0.0022425527883662144,False,0.08201920369594484,0.026175697793254793
17,RA_CLOSE,0.775,1.0,1.0,0.2,159,0.0897885019042417,0.028795638445978433,0.005150422048793762,-0.09387295552295094,-0.02945057924528216,0.00806393063789601,0.20225118694970612,0.09009423702355801,0.005959541797035797,0.07335641640340951,0.0247340153000839,0.001079215836600922,False,0.07654288884123406,0.025549874431512132
14,RA_CLOSE,0.775,1.0,0.75,0.2,159,0.08746908910091422,0.028048226868098602,0.005150422048793735,-0.0873753639756244,-0.027615398626551046,0.008063930637896025,0.19734647007959016,0.08856480979994963,0.005650851530777129,0.0727605536434921,0.024702485360624804,0.0007705255703422953,False,0.07597670870279138,0.025518632543216846
16,RA_CLOSE,0.775,1.0,1.0,0.15,159,0.09662893261677463,0.03402976187229445,0.004786200295719675,-0.10928542088342674,-0.03308945479647596,0.00784140840522378,0.18637669080255526,0.08430328887223504,0.0045825205709492944,0.0663052214778701,0.02395580002665998,-0.0006513084402426095,False,0.07000065818905665,0.024854460892296037
13,RA_CLOSE,0.775,1.0,0.75,0.15,159,0.0949042394005628,0.03346720872860276,0.004786200295719689,-0.1044403315564395,-0.03171766916687835,0.007841408405223696,0.18270908178660283,0.08315872319179163,0.004351020425555213,0.06585822699148802,0.02393169285539476,-0.0008828085856366907,False,0.06957592067881424,0.02483057749909756
42,RA_CLOSE,0.8,1.0,0.75,0.25,131,0.004515632428289562,-0.0014664841386540228,0.005432496979641224,0.024791650494041417,0.0028203745171886396,0.005953922346106741,0.19412161071133882,0.08727945718617725,0.004732008226525003,0.0747012726086449,0.023512100135199887,0.00640857743902476,False,0.07677617010059867,0.02402883846546211
45,RA_CLOSE,0.8,1.0,1.0,0.25,131,0.004515632428289562,-0.0014664841386540228,0.005432496979641224,0.016530997073385456,0.00046872581717627426,0.005953922346106699,0.20021473722813665,0.08918686106071605,0.00510873481441447,0.07439459267301829,0.023188615669436752,0.006785304026914046,False,0.07643306301333053,0.0237113670355793
40,RA_CLOSE,0.8,1.0,0.75,0.15,131,0.021041788491074964,0.008463557233248542,0.004845816640998521,0.0029788235963368326,-0.0023101054820924283,0.005331981865731,0.167158866594751,0.07735130113664335,0.002456582811456373,0.0657755416987833,0.023061147629100942,0.004179174172785377,False,0.06855237764540667,0.023655481459412098
44,RA_CLOSE,0.8,1.0,1.0,0.2,131,0.013128354782224072,0.0035061047497562114,0.005230825821754381,0.007382532773314465,-0.0016167550746672976,0.0056424729340029955,0.18561371963859719,0.08384456319151345,0.003973720933564254,0.07016561059669058,0.02304173364155493,0.005686023009128016,False,0.07255459941677844,0.023601893547373853
43,RA_CLOSE,0.8,1.0,1.0,0.15,131,0.021041788491074964,0.008463557233248542,0.004845816640998521,-0.0019388880184854074,-0.0037154011645668117,0.005331981865730917,0.17079713458162904,0.07849140962484435,0.002683023842540752,0.06560172108367746,0.022868172060814373,0.0044056152038699226,False,0.06835657487770974,0.023466092909723235
10,RA_CLOSE,0.775,1.0,0.5,0.15,159,0.0949042394005628,0.03346720872860276,0.004786200295719689,-0.12402214511382448,-0.03674950215215134,0.007930714729043165,0.16606093886149997,0.07605375843530338,0.003412070781838736,0.05411508825078548,0.020281725230769876,-0.0017324519055338938,False,0.05793781117103203,0.02124445898385119
11,RA_CLOSE,0.775,1.0,0.5,0.2,159,0.08746908910091422,0.028048226868098602,0.005150422048793735,-0.11348812218096793,-0.03432718470346208,0.008185120340411758,0.1751938333965024,0.07907685819795773,0.004396576363258048,0.05713214634913322,0.019843967206226498,-0.000362559894661052,False,0.06048359277622861,0.020745305328557118
12,RA_CLOSE,0.775,1.0,0.5,0.25,159,0.07920470121603573,0.022611742229579512,0.0053308480428998495,-0.10309417977061364,-0.031917829413872445,0.008440337074249196,0.1841357042916174,0.08208276730021202,0.005224356058299476,0.05979823381776672,0.019378996333208054,0.0008259306103940711,False,0.06269313275172417,0.020219344816443163
37,RA_CLOSE,0.8,1.0,0.5,0.15,131,0.021041788491074964,0.008463557233248542,0.004845816640998521,-0.01733864896435955,-0.007863326065157938,0.0038344027834987526,0.15057411778258079,0.07027400468642364,0.0015176331677398541,0.05407382085998069,0.019274332523929294,0.001783478039041636,False,0.0568786907704768,0.019922092397264057
38,RA_CLOSE,0.8,1.0,0.5,0.2,131,0.013128354782224072,0.0035061047497562114,0.005230825821754381,-0.013105998030580102,-0.007144110575154183,0.003643581772584989,0.15868325712229736,0.07287314201574424,0.0024177934414301994,0.054820258575254854,0.0182585359484031,0.002473753450660171,False,0.057272039342082026,0.018885125983844286
39,RA_CLOSE,0.8,1.0,0.5,0.25,131,0.004515632428289562,-0.0014664841386540228,0.005432496979641224,-0.009015095270258455,-0.006436417913507908,0.0034526600950334357,0.16660480525949062,0.07545418624361666,0.0031612362551328294,0.05525228663833559,0.017220426906962683,0.0029815423882481595,False,0.05736417828216078,0.017826187762205015
69,RA_CLOSE,0.825,1.0,0.75,0.25,91,-0.05701705121980849,-0.019600888414280204,0.004010726074007889,0.021071262160250348,0.002940731047158529,0.0061205293499573266,0.16075036085951977,0.07224464109693218,0.0034189439594965593,0.04014140955570289,0.012452120578920312,0.0038403492702134556,False,0.040809976318196606,0.012619267847598703
