candidate,family,threshold,budget,D_sharpe_delta,D_annual_delta,D_top10_delta,V_sharpe_delta,V_annual_delta,V_top10_delta,T_sharpe_delta,T_annual_delta,T_top10_delta,FULL_sharpe_delta,FULL_annual_delta,FULL_top10_delta,FULL_5bp_sharpe_delta,FULL_5bp_annual_delta,trigger_days,passes_all_segments_triple,confidence_cap,max_budget,beta
P5_145_RA_CLOSE,RA_CLOSE,0.8,0.2,0.013128354782224072,0.0035061047497562114,0.005230825821754381,0.013965923037744354,0.0002607766165867442,0.005642472934003009,0.18074991799551876,0.08232151578672542,0.0036720686089492804,0.07040394925542848,0.0232997802374455,0.005384370684512918,0.07282217842628658,0.023855143571088533,131,True,1.0,,0.75
P5_001_SAFE_POS,SAFE_POS,0.7,0.2,0.19650292486099596,0.045890281675374345,0.006750171400056376,0.06696342038055259,0.008506594995991046,0.009209709895042398,0.029235682138281316,-0.033407046702996324,0.022623346286600843,0.10694669177842742,0.011344859968323462,0.01428126233226873,0.10587489953663298,0.012510189106919922,550,False,,,
P5_168_DYNAMIC_CLOSE,DYNAMIC_CLOSE,0.8,,0.004221907137752945,0.002618894851476705,0.007144519787879819,0.11268925017538611,0.031657242838265764,0.008666918329584217,-0.028595359515937613,-0.014175603020575522,-0.0015511754014939233,0.026142980296866014,0.00788091172497829,0.004927384231696141,0.02755498045348359,0.008390833494589689,221,False,1.5,0.35,
P5_002_SAFE_POS,SAFE_POS,0.7,0.35,0.14751342479207308,0.010028009860802323,0.008720144594144982,0.11007906720678273,0.01365840419330877,0.013639079073607188,0.06669217868420096,-0.05169555262770453,0.029782124936893056,0.11471977605016082,-0.0057075234709977885,0.02324035118998663,0.10752367034687471,-0.004828967496797398,550,False,,,
