year,baseline,candidate,candidate_minus_baseline
2014,0.7677552666581031,0.6133858335391635,-0.15436943311893958
2015,0.39635776312980187,0.5405003764444551,0.14414261331465328
2016,0.14299272484202374,0.10478949606635868,-0.038203228775665066
2017,0.24303199599157344,0.2423842457523666,-0.0006477502392068235
2018,0.286836138780572,0.293078339753839,0.006242200973266998
2019,0.42816920631941713,0.3989827341079011,-0.029186472211516046
2020,0.21398539300393304,0.231206989837341,0.01722159683340796
2021,0.06184614235334007,0.10433104964378681,0.04248490729044674
2022,0.2282291014130471,0.2282291014130471,0.0
2023,0.09325641293319364,0.1669473377990356,0.07369092486584194
2024,0.6931222879592331,0.7831088887682756,0.08998660080904242
2025,0.5095569756768099,0.5301598066461921,0.020602830969382202
2026,0.176127385233807,0.16118028941180818,-0.014947095821998824
