candidate,defensive_budget,defensive_sleeve_weight,D_sharpe_delta,D_annual_delta,D_top10_delta,V_sharpe_delta,V_annual_delta,V_top10_delta,T_sharpe_delta,T_annual_delta,T_top10_delta,FULL_sharpe_delta,FULL_annual_delta,FULL_top10_delta,robust_score,eligible_DV_triple,all_segments_triple,FULL_5bp_sharpe_delta,FULL_5bp_annual_delta
P14_04,0.2,0.4,0.12683999805827129,0.02317478222335767,0.004738075548338105,0.09689083271198207,0.02322650755156097,0.0062056383897338835,0.04553623004355001,-0.001932670700255823,0.007015906566713692,0.08950765639796932,0.0163828068340659,0.004737999832356177,0.9476151096676211,True,False,0.08988452587658924,0.017154769586914753
P14_08,0.35,0.4,0.10344737026237372,0.008333008330491554,0.0057760179861900685,0.11627207875426071,0.02600732370669201,0.008010285618861496,0.059837838587794234,-0.007184597868078013,0.009717783705215963,0.09193967868122921,0.010125152383666736,0.008798132674410264,0.8333008330491554,True,False,0.09014696720510695,0.010785002799612142
P14_03,0.2,0.3,0.10776216039635034,0.019246748773858124,0.004072902907756054,0.10030089565228517,0.025864482682419476,0.0058486252565179,0.04599226492789765,0.003346770362183449,0.006646264839129529,0.0832011882996413,0.01720240323948974,0.003525169093860081,0.8145805815512108,True,True,0.08403242301072011,0.017911491345045327
P14_07,0.35,0.3,0.08934044051210766,0.008049725512691897,0.004689978802979167,0.11488945333469347,0.028046351989892138,0.007185106358573501,0.05627219213536416,-0.0003551168951081429,0.008611556693673153,0.084589893799772,0.012572037921325663,0.00649239889015496,0.8049725512691897,True,False,0.08384679234821646,0.0131973652876205
P14_06,0.35,0.2,0.0736153546298488,0.007766218037287942,0.0036936598945847138,0.11292923427150481,0.030080073023083687,0.00630466451110108,0.052470816373496154,0.006323658437996649,0.007557872506782637,0.07656670552680178,0.014970240731506879,0.004171812246146045,0.7387319789169428,True,True,0.07689390163454246,0.015561556623567396
P14_02,0.2,0.2,0.08654311167678674,0.015275431299835107,0.0026427864588281086,0.10320812078248165,0.02856001542544595,0.005441946067530248,0.0459428236681414,0.008637018241986594,0.006286228428809354,0.0759766772977255,0.018016483500349345,0.002260864819072589,0.5285572917656217,True,True,0.07731616296558808,0.0186634244256616
P14_05,0.35,0.1,0.0564310862243409,0.0074824855011572655,0.0022684529095166467,0.1104373614449844,0.032108543853997196,0.005391497623287389,0.04852972386889087,0.012857464689749243,0.006399591758342954,0.06797461582499653,0.017321741796059165,0.0017801738870818762,0.45369058190332934,True,True,0.06938642686828023,0.017879543979396395
P14_01,0.2,0.1,0.06324417116182524,0.011259736513681284,0.0020382760733616,0.10559828416388395,0.031315098405646946,0.004967117084581613,0.04543742566184861,0.0139385177634328,0.005844038925956599,0.06786655811980813,0.01882512462546937,0.0008646068053883849,0.40765521467232,True,True,0.06976508258531511,0.019410631714593007
