date,reason,asset,side,shares,notional
2020-01-03,rebalance,512890.SH,sell,577700,708837.9
2020-01-03,rebalance,511260.SH,buy,4900,530674.9
2020-01-03,rebalance,511880.SH,buy,1600,200628.46847999998
2020-02-04,rebalance,511260.SH,sell,4800,531504.0
2020-02-04,rebalance,511880.SH,sell,1400,175914.6088
2020-02-04,rebalance,512890.SH,buy,696100,735777.7
2020-03-03,rebalance,512890.SH,sell,659800,771966.0
2020-03-03,rebalance,511260.SH,buy,5000,558545.0
2020-03-03,rebalance,511880.SH,buy,1700,214076.86492
2020-04-02,rebalance,511260.SH,sell,4800,541488.0
2020-04-02,rebalance,511880.SH,sell,1500,189212.592
2020-04-02,rebalance,512890.SH,buy,720600,766718.4
2020-05-07,rebalance,512890.SH,sell,686500,762701.5
2020-05-07,rebalance,511260.SH,buy,4900,560016.1
2020-05-07,rebalance,511880.SH,buy,1700,214721.97616
2020-06-02,rebalance,511880.SH,sell,1800,227609.67311999996
2020-06-02,rebalance,512890.SH,sell,63900,72207.0
2020-06-02,rebalance,511260.SH,buy,2700,303744.60000000003
2020-07-02,rebalance,511260.SH,buy,300,33450.0
2020-08-04,rebalance,512890.SH,sell,41600,55993.600000000006
2020-08-04,rebalance,511260.SH,buy,500,55220.0
2020-08-04,rebalance,511880.SH,buy,200,25360.098079999996
2020-09-02,rebalance,511260.SH,buy,100,11010.7
2020-10-12,rebalance,511260.SH,sell,4900,539294.0
2020-10-12,rebalance,511880.SH,sell,3600,458158.97952
2020-10-12,rebalance,512890.SH,buy,542600,710263.4
2020-10-12,rebalance,511360.SH,buy,3100,310930.0
2020-11-03,rebalance,511360.SH,sell,200,20093.199999999997
2020-11-03,rebalance,512890.SH,sell,525900,693136.2000000001
2020-11-03,rebalance,511260.SH,buy,5200,573820.0
2020-11-03,rebalance,511880.SH,buy,1300,165680.74744
2020-12-02,rebalance,511880.SH,sell,600,76581.50472
2020-12-02,rebalance,512890.SH,sell,23300,33179.2
2020-12-02,rebalance,511360.SH,buy,1100,110715.0
2020-12-02,rebalance,511260.SH,buy,100,10961.0
2021-01-05,rebalance,511260.SH,sell,3900,429148.2
2021-01-05,rebalance,511360.SH,sell,2500,252657.5
2021-01-05,rebalance,511880.SH,sell,200,25590.07248
2021-01-05,rebalance,512890.SH,buy,549900,724768.2000000001
2021-02-02,rebalance,511260.SH,sell,4500,497920.5
2021-02-02,rebalance,511360.SH,buy,2700,273164.39999999997
2021-02-02,rebalance,512890.SH,buy,157400,204462.59999999998
2021-02-02,rebalance,511880.SH,buy,300,38450.26632
2021-03-02,rebalance,511880.SH,sell,100,12842.05192
2021-03-02,rebalance,512890.SH,sell,686900,953417.2
2021-03-02,rebalance,511260.SH,buy,8900,981091.5
2021-04-02,rebalance,511260.SH,sell,4100,454587.5
2021-04-02,rebalance,511880.SH,buy,2000,257323.97120000003
2021-04-02,rebalance,511360.SH,buy,1100,111873.3
2021-04-02,rebalance,512890.SH,buy,69500,99315.5
2021-05-07,rebalance,511880.SH,buy,100,12889.7064
2021-05-07,rebalance,511260.SH,buy,100,11163.9
2021-06-02,rebalance,512890.SH,sell,11200,17180.8
2021-06-02,rebalance,511260.SH,buy,200,22502.600000000002
2021-06-02,rebalance,511880.SH,buy,100,12906.315200000001
2021-06-02,rebalance,511360.SH,buy,100,10229.5
2021-07-02,rebalance,511360.SH,sell,2600,266401.2
2021-07-02,rebalance,511880.SH,sell,2900,375046.37904
2021-07-02,rebalance,512890.SH,buy,431900,653464.7
2021-08-03,rebalance,511260.SH,sell,4800,551044.8
2021-08-03,rebalance,512890.SH,buy,217800,308187.0
2021-08-03,rebalance,511880.SH,buy,1600,207230.80832
2021-08-03,rebalance,511360.SH,buy,500,51421.5
2021-09-02,rebalance,512890.SH,sell,704100,1118110.8
2021-09-02,rebalance,511260.SH,buy,10000,1150080.0
2021-09-02,rebalance,511360.SH,buy,100,10305.6
2021-10-11,rebalance,511260.SH,sell,100,11469.9
2021-10-11,rebalance,511880.SH,sell,700,91018.52368000001
2021-10-11,rebalance,512890.SH,sell,14600,23987.8
2021-10-11,rebalance,511360.SH,buy,1300,134277.0
2021-11-02,rebalance,511260.SH,sell,4500,516015.0
2021-11-02,rebalance,511360.SH,sell,2900,299970.2
2021-11-02,rebalance,511880.SH,sell,200,26035.188320000005
2021-11-02,rebalance,512890.SH,buy,542900,846492.0687599999
2021-12-02,rebalance,511260.SH,sell,2100,242172.0
2021-12-02,rebalance,512890.SH,buy,94300,146647.0616
2021-12-02,rebalance,511880.SH,buy,900,117342.32183999999
2021-12-02,rebalance,511360.SH,buy,200,20737.0
2022-01-05,rebalance,512890.SH,sell,558000,923699.6963999999
2022-01-05,rebalance,511360.SH,buy,5700,592366.8
2022-01-05,rebalance,511260.SH,buy,2200,255981.0
2022-01-05,rebalance,511880.SH,buy,700,91453.22549999999
2022-02-08,rebalance,511360.SH,sell,1600,166792.0
2022-02-08,rebalance,511880.SH,buy,1100,144052.425
2022-02-08,rebalance,511260.SH,buy,200,23408.600000000002
2022-02-08,rebalance,512890.SH,buy,11900,19747.67158
2022-03-02,rebalance,511360.SH,sell,2500,260965.0
2022-03-02,rebalance,511880.SH,sell,1500,196587.81
2022-03-02,rebalance,512890.SH,sell,75600,128394.95759999998
2022-03-02,rebalance,511260.SH,buy,5200,605914.4
2022-04-06,rebalance,511260.SH,sell,5100,597031.5
2022-04-06,rebalance,511360.SH,buy,4300,449629.5
2022-04-06,rebalance,512890.SH,buy,56700,99196.70669999998
2022-04-06,rebalance,511880.SH,buy,500,65653.8975
2022-05-06,rebalance,511260.SH,sell,2100,246044.4
2022-05-06,rebalance,511360.SH,sell,5800,608414.2
2022-05-06,rebalance,511880.SH,sell,600,78915.438
2022-05-06,rebalance,512890.SH,buy,556900,937832.1859399999
2022-06-02,rebalance,512890.SH,sell,540200,935132.2250399999
2022-06-02,rebalance,511360.SH,buy,4200,441596.39999999997
2022-06-02,rebalance,511260.SH,buy,2400,282840.0
2022-06-02,rebalance,511880.SH,buy,1700,223879.9275
2022-07-04,rebalance,511360.SH,sell,1200,126349.2
2022-07-04,rebalance,511880.SH,sell,2400,316516.788
2022-07-04,rebalance,512890.SH,sell,72800,126469.89263999998
2022-07-04,rebalance,511260.SH,buy,5000,588225.0
2022-08-02,rebalance,511260.SH,sell,10200,1212280.2
2022-08-02,rebalance,511360.SH,sell,1200,126656.4
2022-08-02,rebalance,512890.SH,buy,745700,1235939.5854
2022-08-02,rebalance,511880.SH,buy,1000,132066.0
2022-09-02,rebalance,512890.SH,sell,663600,1159611.00528
2022-09-02,rebalance,511260.SH,buy,5300,635835.7
2022-09-02,rebalance,511360.SH,buy,4500,475560.00000000006
2022-09-02,rebalance,511880.SH,buy,500,66114.5625
2022-10-11,rebalance,511360.SH,sell,5100,539835.0
2022-10-11,rebalance,511880.SH,sell,2400,317841.624
2022-10-11,rebalance,512890.SH,buy,482400,830140.0660799999
2022-10-11,rebalance,511260.SH,buy,300,35778.9
2022-11-02,rebalance,511260.SH,sell,5600,672196.0
2022-11-02,rebalance,512890.SH,buy,244600,389889.90508
2022-11-02,rebalance,511880.SH,buy,2000,265053.32999999996
2022-11-02,rebalance,511360.SH,buy,600,63561.0
2022-12-02,rebalance,511880.SH,sell,900,119406.71699999999
2022-12-02,rebalance,512890.SH,sell,788200,1378956.6881999997
2022-12-02,rebalance,511260.SH,buy,11200,1331187.2
2022-12-02,rebalance,511360.SH,buy,1600,169505.6
2023-01-04,rebalance,511260.SH,sell,10800,1288904.4000000001
2023-01-04,rebalance,511360.SH,sell,1300,138018.4
2023-01-04,rebalance,512890.SH,buy,787500,1324556.4149999998
2023-01-04,rebalance,511880.SH,buy,1000,132888.66879999998
2023-02-02,rebalance,511360.SH,sell,100,10638.5
2023-02-02,rebalance,511880.SH,sell,100,13306.5213
2023-02-02,rebalance,512890.SH,sell,770700,1340455.389
2023-02-02,rebalance,511260.SH,buy,11500,1370064.0
2023-03-02,rebalance,511260.SH,sell,5500,656282.0
2023-03-02,rebalance,511360.SH,buy,3000,319611.0
2023-03-02,rebalance,511880.SH,buy,1800,239816.04839999997
2023-03-02,rebalance,512890.SH,buy,68400,123304.83047999999
2023-04-04,rebalance,511260.SH,sell,5800,695275.0
2023-04-04,rebalance,511360.SH,sell,2700,288414.0
2023-04-04,rebalance,511880.SH,sell,1600,213535.12127999996
2023-04-04,rebalance,512890.SH,buy,660300,1210590.85056
2023-05-05,rebalance,512890.SH,sell,678700,1372090.86872
2023-05-05,rebalance,511260.SH,buy,6500,786558.5
2023-05-05,rebalance,511360.SH,buy,3100,331895.3
2023-05-05,rebalance,511880.SH,buy,2000,267372.87239999993
2023-06-02,rebalance,511260.SH,sell,6200,754540.0
2023-06-02,rebalance,511360.SH,sell,2900,311294.7
2023-06-02,rebalance,511880.SH,sell,1800,240962.92199999996
2023-06-02,rebalance,512890.SH,buy,693900,1324727.6819399998
2023-07-04,rebalance,512890.SH,buy,14000,26412.349599999998
2023-08-02,rebalance,512890.SH,sell,689800,1369124.6971999998
2023-08-02,rebalance,511260.SH,buy,6400,784601.6
2023-08-02,rebalance,511360.SH,buy,3100,333916.5
2023-08-02,rebalance,511880.SH,buy,1900,255068.5381
2023-09-04,rebalance,511260.SH,sell,6200,763226.2
2023-09-04,rebalance,511360.SH,sell,3000,323805.0
2023-09-04,rebalance,511880.SH,sell,1800,242028.55872
2023-09-04,rebalance,512890.SH,buy,713100,1368678.2163599997
2023-10-10,rebalance,511880.SH,sell,1200,161612.01192000002
2023-10-10,rebalance,512890.SH,sell,783800,1523620.9819999998
2023-10-10,rebalance,511260.SH,buy,12200,1497293.8
2023-10-10,rebalance,511360.SH,buy,1500,162121.5
2023-11-02,rebalance,511260.SH,sell,12200,1502808.2
2023-11-02,rebalance,511360.SH,sell,1400,151473.0
2023-11-02,rebalance,512890.SH,buy,816200,1539839.98168
2023-11-02,rebalance,511880.SH,buy,1300,175271.2234
2023-12-04,rebalance,511360.SH,sell,200,21680.0
2023-12-04,rebalance,511880.SH,sell,200,27006.483959999998
2023-12-04,rebalance,512890.SH,sell,795200,1509984.28672
2023-12-04,rebalance,511260.SH,buy,12700,1568323.0
2024-01-03,rebalance,511260.SH,sell,12600,1571409.0
2024-01-03,rebalance,512890.SH,buy,817000,1541349.2588
2024-01-03,rebalance,511360.SH,buy,300,32612.999999999996
2024-01-03,rebalance,511880.SH,buy,200,27050.8028
2024-02-02,rebalance,512890.SH,sell,5700,11033.519639999999
2024-02-02,rebalance,511880.SH,buy,100,13547.152500000002
2024-02-02,rebalance,511260.SH,buy,100,12581.699999999999
2024-03-04,rebalance,512890.SH,sell,732800,1505453.18144
2024-03-04,rebalance,511260.SH,buy,6900,872643.0
2024-03-04,rebalance,511360.SH,buy,3500,382214.0
2024-03-04,rebalance,511880.SH,buy,2000,271321.33
2024-04-02,rebalance,511360.SH,sell,3500,382847.5
2024-04-02,rebalance,511880.SH,sell,2000,271729.332
2024-04-02,rebalance,512890.SH,sell,82700,171928.27183999997
2024-04-02,rebalance,511260.SH,buy,6700,849680.6
2024-05-07,rebalance,511260.SH,sell,6500,828724.0
2024-05-07,rebalance,511360.SH,buy,3600,394804.80000000005
2024-05-07,rebalance,511880.SH,buy,2200,299339.1785999999
2024-05-07,rebalance,512890.SH,buy,72300,155041.39247999998
