rank,strategy,description,min_trade_notional,invest_deposits_immediately,annualized_return,volatility,sharpe,max_drawdown,sortino,calmar,worst_calendar_return,best_calendar_return,final_nav,total_deposits,trades,traded_notional,estimated_transaction_cost,meets_5pct_return_floor,average_cash_weight,max_cash_weight
1,reversal20_deferred_10k,目标策略：入金留待次日净额再平衡；单笔不足1万元不交易,10000.0,False,0.06563671670665272,0.04306043262563533,1.498022381124158,-0.05911509974010931,1.8350333380828046,1.1103206624908817,0.009970844278441193,0.13264296877864634,5521843.337667189,3280000.0,399,160680983.24564,80340.49162282,True,0.032592371971931454,1.0
2,reversal20_deferred_05k,因子策略；入金留待次日净额再平衡；单笔不足5000元不交易,5000.0,False,0.06558862079503935,0.043052295504494506,1.497248786795056,-0.059112979876351,1.8338283712048067,1.1095468530301418,0.009981573423464063,0.13258809286279494,5519765.389038133,3280000.0,405,160678855.64375,80339.42782187501,True,0.0325644510904203,1.0
3,reversal20_deferred_20k,因子策略；入金留待次日净额再平衡；单笔不足2万元不交易,20000.0,False,0.06558461035429031,0.0430594040405209,1.4969212536042122,-0.059073271022352714,1.832834256592429,1.1102247974295139,0.009981532588777986,0.13248974607905728,5520310.057880278,3280000.0,359,160193765.41946,80096.88270973,True,0.033931149921950704,1.0
4,reversal20_immediate_no_threshold,因子策略；入金当日按旧权重买入；次日完整再平衡；无单笔门槛,0.0,True,0.06558087056507822,0.04310941600935614,1.4951534796241979,-0.059181738664792705,1.8276171383818591,1.1081267979727734,0.010011579893282718,0.13287797070931973,5519054.517467271,3280000.0,550,162081752.68547997,81040.87634273998,True,0.0315967460157463,1.0
5,reversal20_deferred_no_threshold,因子策略；入金留待次日与再平衡净额合并；无单笔门槛,0.0,False,0.06548862183047821,0.04306416455560489,1.4946682387044645,-0.0591830695514467,1.8288931946651896,1.1065431774124224,0.009872327756986543,0.13261239288605275,5514486.446597796,3280000.0,410,160571233.76443,80285.61688221499,True,0.03252869192214681,1.0
6,fixed_monthly_deferred_10k,4只ETF固定35/40/15/10；入金等到次日完整再平衡；单笔不足1万元不交易,10000.0,False,0.05256314190426403,0.04384169732620652,1.1905245325153522,-0.052579917123415476,1.324735435078074,0.9996809576722597,0.011149917526841913,0.12071517584257929,4856901.849446069,3280000.0,293,9367524.40786,4683.7622039299995,True,0.032630659391672534,1.0
