er_group,com_group,mean,median,count
low,low,-0.0011400424068583746,0.0016794657601598706,322
low,mid,0.000563020995095294,0.0017543859649122862,279
low,high,0.004821203207371173,0.0034661793557350107,222
mid,low,-0.0013058729770179444,0.0003668378576668907,281
mid,mid,-0.0002985279223248907,0.0014005402915711063,280
mid,high,0.0011286252187574805,0.0012217470983506562,221
high,low,0.0046821380589776775,0.004306394712298767,194
high,mid,0.007386674030275299,0.004451864218141255,247
high,high,0.007607282209359427,0.006802775571588371,354
