tau,evaluation_start,annualized_return,sharpe,max_drawdown,annualized_turnover,average_holding_days,switch_count
0.0,2016-02-02,0.2937766587986961,1.1553898157228928,-0.25505250836131044,45.29543634907926,11.102222222222222,224
0.0005,2016-02-02,0.258327059819879,1.045652506194361,-0.25504107542942467,44.48839071257005,11.30316742081448,220
0.001,2016-02-02,0.2563725400663981,1.0383571627325243,-0.2558674828975822,41.461969575660525,12.12621359223301,205
0.0025,2016-02-02,0.2560042354350336,1.0391968807800966,-0.2550410754294248,37.83026421136909,13.287234042553191,187
0.005,2016-02-02,0.33169708488823435,1.2791504920416505,-0.25504107542942467,32.180944755804646,15.6125,159
0.0075,2016-02-02,0.31481138598549974,1.2177460401980031,-0.2760828001154909,29.75980784627702,16.87837837837838,147
0.01,2016-02-02,0.3567383008309162,1.3437182716791756,-0.2760828001154908,26.12810248198559,19.215384615384615,129
