regime,rows,min_score,median_score,max_score,median_abs_score,p90_abs_score
2015-10_switch_heavy,0,,,,,
2020-09_switch_heavy,88,-0.02781519097403735,-0.0016628765049002386,0.26391227055062616,0.0065601201527026275,0.025498012857040255
2024-10_single_asset,72,-0.0004672986324362468,0.04512715459848064,0.6015687867239571,0.04512715459848064,0.1301704492907114
2025-10_switch_heavy,68,-0.0038910505836575876,0.01688962685690653,0.14392770832239687,0.01688962685690653,0.07733809921414295
2024-09_canary,76,-0.027133472042464628,-0.00012894546609015542,0.3592843794023477,0.006051922003849326,0.026912197765817117
