switch_date,from_asset,to_asset,next_switch_date,holding_days,holding_period_return,whipsaw_le_5d_loss
2017-03-23,513100.SH,518880.SH,2017-03-30,5,0.009405933192054405,False
2017-03-30,518880.SH,513100.SH,2017-04-10,5,-0.02178693639111362,True
2017-04-10,513100.SH,518880.SH,2017-04-26,12,0.0033690439985023524,False
2017-04-26,518880.SH,513100.SH,2017-06-02,24,0.03358102188436951,False
2017-06-02,513100.SH,510300.SH,2017-07-27,39,0.08250406323497295,False
2017-07-27,510300.SH,513100.SH,2017-08-10,10,-0.013988985360040007,False
2017-08-10,513100.SH,518880.SH,2017-08-17,5,-0.0039968340515342815,True
2017-08-17,518880.SH,159915.SZ,2017-09-13,19,0.04938525700966201,False
2017-09-13,159915.SZ,510300.SH,2017-09-20,5,-0.004655898858337282,True
2017-09-20,510300.SH,159915.SZ,2017-09-27,5,-0.023992511407323835,True
2017-09-27,159915.SZ,513100.SH,2017-10-25,15,0.042126852123513636,False
2017-10-25,513100.SH,510300.SH,2017-11-01,5,0.01122865704763365,False
2017-11-01,510300.SH,513100.SH,2017-11-14,9,0.008475267875026171,False
2017-11-14,513100.SH,510300.SH,2017-11-24,8,-0.010235915106627469,False
2017-11-24,510300.SH,513100.SH,2018-01-02,26,0.005711271421764197,False
2018-01-02,513100.SH,510300.SH,2018-01-09,5,0.02426322184298213,False
2018-01-09,510300.SH,518880.SH,2018-01-16,5,0.017922457937088243,False
2018-01-16,518880.SH,510300.SH,2018-01-31,11,0.0085084067756942,False
2018-01-31,510300.SH,513100.SH,2018-02-07,5,-0.09288066885209245,True
2018-02-07,513100.SH,518880.SH,2018-02-14,5,0.03947099518941144,False
2018-02-14,518880.SH,159915.SZ,2018-02-28,5,0.05752231093295079,False
2018-02-28,159915.SZ,513100.SH,2018-03-07,5,-0.00018520315021786082,True
2018-03-07,513100.SH,159915.SZ,2018-04-11,23,0.022908872498081934,False
2018-04-11,159915.SZ,518880.SH,2018-04-25,10,-0.0033881276132395888,False
2018-04-25,518880.SH,159915.SZ,2018-05-04,5,0.01799589931509815,False
2018-05-04,159915.SZ,513100.SH,2018-05-21,11,0.036492485366817595,False
2018-05-21,513100.SH,510300.SH,2018-05-28,5,-0.028203203479451266,True
2018-05-28,510300.SH,513100.SH,2018-07-20,38,0.12267837532251447,False
2018-07-20,513100.SH,159915.SZ,2018-07-27,5,0.011716914472235995,False
2018-07-27,159915.SZ,513100.SH,2018-09-04,27,0.030955330624786725,False
2018-09-04,513100.SH,510300.SH,2018-09-11,5,-0.023059178445461903,True
2018-09-11,510300.SH,513100.SH,2018-09-21,8,0.0021652825986728796,False
2018-09-21,513100.SH,518880.SH,2018-10-08,5,-0.00029515897279031034,True
2018-10-08,518880.SH,510300.SH,2018-10-15,5,-0.04800959785268366,True
2018-10-15,510300.SH,518880.SH,2018-11-09,19,0.0051769305829219014,False
2018-11-09,518880.SH,159915.SZ,2018-12-03,16,0.005630535836209205,False
