tau,baseline_entry_date,baseline_next_entry_date,from_asset,target_asset,tau_entry_date,status,delay_trading_days,baseline_window_pnl,tau_window_pnl,missed_pnl,verdict
0.0005,2019-12-18,2019-12-25,159915.SZ,513100.SH,2019-12-24,delayed,4,0.005070179430501476,-0.03160796403976052,0.03667814347026199,wrong_missed_trend
0.0005,2019-12-25,2020-01-06,513100.SH,159915.SZ,2019-12-31,delayed,4,0.03841907932511246,0.02601987115720661,0.01239920816790585,wrong_missed_trend
0.0005,2020-01-06,2020-01-14,159915.SZ,513100.SH,,blocked,6,0.03565405621390538,0.019874473703300533,0.01577958251060485,wrong_missed_trend
0.0005,2020-01-14,2020-02-03,513100.SH,159915.SZ,2020-01-23,delayed,7,0.006328321412514937,-0.023585154379176965,0.0299134757916919,wrong_missed_trend
0.0005,2020-02-03,2020-02-20,159915.SZ,513100.SH,2020-02-07,delayed,4,0.037289795312291485,0.06456215102645735,-0.027272355714165863,correct_avoided_loss
0.0005,2020-12-15,2020-12-29,510300.SH,159915.SZ,2020-12-16,delayed,1,0.04233118073495645,0.033958136512098,0.00837304422285845,wrong_missed_trend
0.0005,2021-10-12,2021-11-03,510300.SH,159915.SZ,2021-10-15,delayed,3,0.04373155867177303,0.03234787462790356,0.011383684043869469,wrong_missed_trend
0.0005,2022-08-25,2022-09-01,513100.SH,518880.SH,2022-08-30,delayed,3,-0.0066394304102629365,-0.029184195745721064,0.022544765335458128,wrong_missed_trend
0.0005,2022-09-01,2022-09-08,518880.SH,510300.SH,,blocked,5,-0.008437217887346415,0.00026609898882390404,-0.00870331687617032,correct_avoided_loss
0.0005,2022-09-08,2022-11-04,510300.SH,518880.SH,,blocked,35,0.00579368060896801,0.012237297153498305,-0.006443616544530295,correct_avoided_loss
0.0005,2022-11-04,2022-11-11,518880.SH,159915.SZ,2022-11-07,delayed,1,-0.008427830931458824,-0.028253805181284508,0.019825974249825684,wrong_missed_trend
0.0005,2022-11-11,2022-11-28,159915.SZ,518880.SH,2022-11-14,delayed,1,0.04400311640455801,0.02230278633874594,0.021700330065812068,wrong_missed_trend
0.0005,2022-12-22,2023-01-13,510300.SH,518880.SH,2022-12-30,delayed,6,0.013779634209845293,0.023581248698947288,-0.009801614489101995,correct_avoided_loss
0.0005,2023-08-21,2023-08-28,518880.SH,510300.SH,,blocked,5,-0.015329026499637188,0.00610721556209004,-0.02143624206172723,correct_avoided_loss
0.0005,2023-08-28,2023-09-18,510300.SH,518880.SH,,blocked,15,0.0860578586624603,0.022482014388489402,0.0635758442739709,wrong_missed_trend
0.0005,2023-11-14,2023-11-21,518880.SH,513100.SH,2023-11-16,delayed,2,0.00684172476735001,-0.006183073164925945,0.013024797932275956,wrong_missed_trend
0.0005,2023-11-21,2023-11-28,513100.SH,159915.SZ,,blocked,5,-0.024841793625575037,0.005240174672489495,-0.030081968298064532,correct_avoided_loss
0.0005,2023-11-28,2023-12-08,159915.SZ,513100.SH,,blocked,8,-0.013578419290821708,-0.009556907037358786,-0.004021512253462922,correct_avoided_loss
0.0005,2024-05-07,2024-05-21,518880.SH,510300.SH,2024-05-08,delayed,1,0.015114548859833876,0.011820331712104393,0.0032942171477294835,wrong_missed_trend
0.0005,2025-03-13,2025-03-20,159915.SZ,510300.SH,2025-03-17,delayed,2,0.019492580758338596,0.01571859709932566,0.003773983659012936,wrong_missed_trend
0.0005,2025-03-20,2025-05-09,510300.SH,518880.SH,2025-03-24,delayed,2,0.10784247998976393,0.08886467199774373,0.0189778079920202,wrong_missed_trend
0.0005,2025-06-20,2025-06-27,518880.SH,513100.SH,2025-06-23,delayed,1,0.02732927427130205,0.03152206551602155,-0.004192791244719496,correct_avoided_loss
0.0005,2025-06-27,2025-07-07,513100.SH,159915.SZ,2025-06-30,delayed,1,0.021213939839886065,0.024572345690692776,-0.0033584058508067116,correct_avoided_loss
0.0005,2026-03-06,2026-03-13,518880.SH,510300.SH,,blocked,5,-0.0005582033181827928,0.029018480108163436,-0.02957668342634623,correct_avoided_loss
0.0005,2026-03-13,2026-03-20,510300.SH,518880.SH,2026-03-16,delayed,1,-0.07146087890446562,-0.04760243282912113,-0.023858446075344486,correct_avoided_loss
0.0005,2026-03-20,2026-04-08,518880.SH,159915.SZ,2026-03-23,delayed,1,-0.07700207724552655,-0.10550361093791538,0.028501533692388836,wrong_missed_trend
0.0005,2026-04-08,2026-04-15,159915.SZ,513100.SH,2026-04-09,delayed,1,0.04906096741265342,0.04755669239014226,0.001504275022511159,wrong_missed_trend
0.0005,2026-04-15,2026-04-27,513100.SH,159915.SZ,2026-04-16,delayed,1,0.04086278824039247,0.08581968262673967,-0.0449568943863472,correct_avoided_loss
0.001,2016-03-15,2016-03-25,518880.SH,513100.SH,2016-03-16,delayed,1,-0.012827142046835549,-0.014297437446625594,0.0014702953997900448,wrong_missed_trend
0.001,2016-04-27,2016-05-26,513100.SH,518880.SH,2016-04-28,delayed,1,-0.01208141733383361,-0.012008643333413671,-7.277400041993953e-05,correct_avoided_loss
0.001,2016-05-26,2016-06-07,518880.SH,513100.SH,2016-05-27,delayed,1,0.014201426875891654,0.005338883353760426,0.008862543522131228,wrong_missed_trend
0.001,2016-06-24,2016-07-01,513100.SH,159915.SZ,,blocked,5,0.04806109199058639,-0.025977299550878796,0.07403839154146519,wrong_missed_trend
0.001,2016-07-01,2016-07-12,159915.SZ,518880.SH,,blocked,7,0.03850480325888439,0.04400283889283152,-0.005498035633947129,correct_avoided_loss
0.001,2016-07-12,2016-07-19,518880.SH,159915.SZ,,blocked,5,0.006761733991597518,-0.029688192170399974,0.03644992616199749,wrong_missed_trend
0.001,2016-07-19,2016-07-26,159915.SZ,510300.SH,,blocked,5,-0.010473853942523648,-0.019337518406272625,0.008863664463748977,wrong_missed_trend
0.001,2016-07-26,2016-08-18,510300.SH,513100.SH,2016-07-27,delayed,1,0.027809637572318247,0.04076895248813717,-0.01295931491581892,correct_avoided_loss
0.001,2016-10-10,2016-10-17,513100.SH,518880.SH,,blocked,5,0.0020620252536220907,0.01581722319859402,-0.01375519794497193,correct_avoided_loss
0.001,2016-10-17,2016-10-24,518880.SH,513100.SH,,blocked,5,-0.0043931627734363765,-0.0034602076124568004,-0.0009329551609795761,correct_avoided_loss
0.001,2017-06-02,2017-07-27,513100.SH,510300.SH,2017-06-08,delayed,4,0.08228898295974219,0.07777067510076052,0.004518307858981663,wrong_missed_trend
0.001,2017-08-10,2017-08-17,513100.SH,518880.SH,2017-08-11,delayed,1,-0.004195669991876372,-0.030751676530424543,0.02655600653854817,wrong_missed_trend
0.001,2017-08-17,2017-09-13,518880.SH,159915.SZ,2017-08-18,delayed,1,0.049179873275412955,0.04162848912708639,0.007551384148326568,wrong_missed_trend
0.001,2017-09-27,2017-10-25,159915.SZ,513100.SH,2017-10-10,delayed,4,0.041919513571654354,0.040873605704782934,0.0010459078668714206,wrong_missed_trend
0.001,2018-01-02,2018-01-09,513100.SH,510300.SH,2018-01-03,delayed,1,0.024059933641821685,0.022623897920038605,0.00143603572178308,wrong_missed_trend
0.001,2018-01-09,2018-01-16,510300.SH,518880.SH,2018-01-10,delayed,1,0.01771902226457378,0.02648291221234822,-0.00876388994777444,correct_avoided_loss
0.001,2018-01-16,2018-01-31,518880.SH,510300.SH,2018-01-17,delayed,1,-0.001838944856811242,-0.012033827310886647,0.010194882454075405,wrong_missed_trend
0.001,2018-02-14,2018-02-28,518880.SH,159915.SZ,,blocked,5,0.057310690532692554,0.001477104874445967,0.05583358565824659,wrong_missed_trend
0.001,2018-03-07,2018-04-11,513100.SH,159915.SZ,2018-03-08,delayed,1,0.022702559216366325,0.030913306088925285,-0.00821074687255896,correct_avoided_loss
0.001,2018-04-11,2018-04-25,159915.SZ,518880.SH,2018-04-12,delayed,1,-0.003586220056379763,-0.01590436074454249,0.012318140688162726,wrong_missed_trend
