segment,start,end,baseline_total_return,variant_total_return,baseline_annual_return,variant_annual_return,baseline_sharpe,variant_sharpe,baseline_max_drawdown,variant_max_drawdown,delta_sum,switch_count
2020Q1,2020-01-01,2020-03-31,-0.004916116196572284,0.013418846428838949,-0.02118473636990348,0.05962477761618734,0.1538035976081612,0.3434505857487002,-0.21739980673590276,-0.24747359928462542,0.018254061616903444,9
2022,2022-01-01,2022-12-31,0.2282291014130471,0.16694995266533974,0.2387070631604158,0.17441877102165892,1.2084381999994394,0.9566277843408381,-0.13769507655338997,-0.15926520262342925,-0.05116990031425875,15
2024-10,2024-10-01,2024-10-31,-0.04928315412186357,-0.04928315412186357,-0.5071478559554674,-0.5071478559554674,-0.13890815848187235,-0.13890815848187235,-0.25504107542942467,-0.25504107542942467,0.0,0
2024-09_rally_window,2024-09-01,2024-10-31,0.3066808909234906,0.2536150066253582,5.183135425410109,3.6620580190779,2.3321156205783438,2.0501491644508,-0.25504107542942467,-0.2550410754294248,-0.04145088386817034,3
