execution_date,signal_date,old_asset,new_asset,old_intraday,new_intraday,delta,net_delta,turnover,cost
2014-02-07,2014-01-30,,159915.SZ,0.0,0.03239145416953826,-0.03187791119297695,-0.03188104901852593,1.0,0.0001
2014-02-20,2014-02-19,159915.SZ,518880.SH,-0.011992005329780064,0.001170503316425986,-0.013234308307040327,-0.013236979049894817,2.0,0.0002
2014-03-26,2014-03-25,518880.SH,510300.SH,-0.003431185665268899,-0.0032213529682468822,-0.00021053298721260185,-0.0002105750011221928,2.0,0.0002
2014-04-29,2014-04-28,510300.SH,518880.SH,0.008916001877053104,-0.00951293759512939,0.01843496363302719,0.018438652673524264,2.0,0.0002
2014-05-09,2014-05-08,518880.SH,513100.SH,-0.0015432098765432167,-0.0017226528854435985,0.00017973650676566828,0.00017977245059324395,2.0,0.0002
2014-06-16,2014-06-13,513100.SH,159915.SZ,-0.006415396952686447,0.008136094674556116,-0.01453923914451712,-0.014542131190541747,2.0,0.0002
2014-06-23,2014-06-20,159915.SZ,513100.SH,0.020689655172413834,-0.0031746031746031633,0.023658184260920385,0.02366287618801861,2.0,0.0002
2014-06-30,2014-06-27,513100.SH,518880.SH,0.0023659305993690705,-0.0018982536066818323,0.0042631937656279215,0.0042640463781134594,2.0,0.0002
2014-07-08,2014-07-07,518880.SH,513100.SH,0.002669717772692648,0.003076923076922977,-0.00040603863073395254,-0.00040611946747064545,2.0,0.0002
2014-07-21,2014-07-18,513100.SH,510300.SH,0.0030816640986133237,-0.000453926463912957,0.0035309550241972823,0.0035316560824227277,2.0,0.0002
2014-08-21,2014-08-20,510300.SH,159915.SZ,-0.003742203742203687,0.017985611510791477,-0.0215750072571222,-0.021579292929285995,2.0,0.0002
2014-09-04,2014-09-03,159915.SZ,513100.SH,0.01391788448155884,-0.009601181683899673,0.023469490306721838,0.023474181982706052,2.0,0.0002
2014-09-12,2014-09-11,513100.SH,159915.SZ,-0.003714710252600395,0.00953029271613337,-0.013206792887049425,-0.01320941935920126,2.0,0.0002
2014-09-22,2014-09-19,159915.SZ,510300.SH,-0.00688705234159781,-0.017857142857142794,0.011107627962831223,0.011109890217967145,2.0,0.0002
2014-09-29,2014-09-26,510300.SH,159915.SZ,0.0048406615570795175,0.01154891304347827,-0.00665375016819748,-0.006655070905955618,2.0,0.0002
2014-10-17,2014-10-16,159915.SZ,510300.SH,-0.0080971659919028,-0.004415897230028221,-0.003704449980097493,-0.003705195686465294,2.0,0.0002
2014-10-24,2014-10-23,510300.SH,518880.SH,-0.0012315270935960854,-0.001642710472279263,0.0004117751543017509,0.00041185761051123647,2.0,0.0002
2014-10-31,2014-10-30,518880.SH,510300.SH,-0.016331658291457107,0.01712465153325371,-0.03344616728847935,-0.03345287886889565,2.0,0.0002
2014-11-07,2014-11-06,510300.SH,513100.SH,-0.002356637863314859,0.00442151805453217,-0.006771190966433003,-0.006772543557008726,2.0,0.0002
2014-11-24,2014-11-21,513100.SH,510300.SH,-0.005805515239477366,0.019245283018867854,-0.024884867563780753,-0.024889812808710447,2.0,0.0002
2015-01-20,2015-01-19,510300.SH,518880.SH,0.021752265861027187,-0.011538461538461608,0.033124607207725025,0.03313109789486122,2.0,0.0002
2015-01-28,2015-01-27,518880.SH,159915.SZ,-0.0026871401151632446,-0.0023923444976076125,-0.0002955462309677205,-0.00029560513848273396,2.0,0.0002
2015-02-26,2015-02-25,159915.SZ,513100.SH,0.006100942872989457,-0.004824259131633424,0.010918340903181011,0.01092052365796801,2.0,0.0002
2015-03-05,2015-03-04,513100.SH,159915.SZ,-0.002054794520547909,-0.0010309278350515427,-0.0010254489005149827,-0.0010256554743667753,2.0,0.0002
2015-03-31,2015-03-30,159915.SZ,510300.SH,0.026027397260274032,-0.02491533623609099,0.050925426499330545,0.05093562631840837,2.0,0.0002
2015-04-08,2015-04-07,510300.SH,159915.SZ,0.005660377358490454,-0.025420254202542125,0.03139334847540337,0.03139967715588497,2.0,0.0002
2015-04-15,2015-04-14,159915.SZ,510300.SH,-0.04115226337448563,-0.008397639582387595,-0.03358989136399543,-0.03359681108255655,2.0,0.0002
2015-05-07,2015-05-06,510300.SH,159915.SZ,-0.01197073819552208,-0.0088560885608856,-0.0031474276712764385,-0.0031480674372804003,2.0,0.0002
2015-06-09,2015-06-08,159915.SZ,510300.SH,0.01467625899280578,-0.00978363123236159,0.02440141038119275,0.02440636150564266,2.0,0.0002
2015-06-23,2015-06-19,510300.SH,513100.SH,0.03249566724436748,0.013651877133105783,0.0184193196851197,0.018422911227852556,2.0,0.0002
2015-07-07,2015-07-06,513100.SH,518880.SH,-0.0014074595355383357,-0.005588993981083368,0.004196219910112555,0.004197058121408953,2.0,0.0002
2015-07-15,2015-07-14,518880.SH,513100.SH,0.0008676789587851452,0.00758097863542373,-0.006685084682531183,-0.006686418661741537,2.0,0.0002
2015-08-05,2015-08-04,513100.SH,159915.SZ,-0.005298013245033095,-0.024410426148117392,0.01940120212127672,0.019405144525401413,2.0,0.0002
2015-08-12,2015-08-11,159915.SZ,513100.SH,-0.012301587301587369,-0.001958224543081033,-0.010417733766402655,-0.010419870225394173,2.0,0.0002
2015-08-19,2015-08-18,513100.SH,518880.SH,-0.0063775510204081565,0.004784688995215447,-0.01117125323231739,-0.011173502597778716,2.0,0.0002
2015-09-23,2015-09-22,518880.SH,513100.SH,0.003018542475204944,-0.0027586206896551557,0.005776428518988267,0.005777590868528861,2.0,0.0002
2015-09-30,2015-09-29,513100.SH,159915.SZ,0.00795372378886472,-0.01426388181355065,0.02228884846828976,0.022293353965294208,2.0,0.0002
2015-11-04,2015-11-03,159915.SZ,513100.SH,0.07145931984502796,0.0006333122229260635,0.06838845783181227,0.06840157007895198,2.0,0.0002
2015-11-11,2015-11-10,513100.SH,159915.SZ,0.0,0.029581252401075675,-0.02915216851033698,-0.029157934360415506,2.0,0.0002
2015-12-03,2015-12-02,159915.SZ,510300.SH,0.04063388866314521,0.004758128469468881,0.03508319145224982,0.03509003559853831,2.0,0.0002
2015-12-10,2015-12-09,510300.SH,513100.SH,-0.0045995670995672144,-0.008150470219435713,0.003573689234545205,0.003574406757433522,2.0,0.0002
2015-12-21,2015-12-18,513100.SH,159915.SZ,0.002547770700636942,0.0033911077618689056,-0.0008408402867846458,-0.000841009593003368,2.0,0.0002
