ÈÕÆÚ,Ê±¼ä,ºÏÔ¼´úÂë,Âò/Âô,¿ª/Æ½,³É½»Á¿,³É½»¼Û,ÊÖÐø·Ñ
2014-01-02,15:00:00,513100.SS,Âò,-,83800.000,1.169,19.592
2014-01-09,15:00:00,513100.SS,Âô,-,83800.000,1.172,19.643
2014-01-09,15:00:00,159915.SZ,Âò,-,72800.000,1.348,19.627
2014-02-20,15:00:00,159915.SZ,Âô,-,72800.000,1.483,21.592
2014-02-20,15:00:00,518880.SS,Âò,-,42000.000,2.566,21.554
2014-03-26,15:00:00,518880.SS,Âô,-,42000.000,2.614,21.958
2014-03-26,15:00:00,510300.SS,Âò,-,50600.000,2.166,21.920
2014-04-28,15:00:00,510300.SS,Âô,-,50600.000,2.131,21.566
2014-04-28,15:00:00,518880.SS,Âò,-,41000.000,2.631,21.574
2014-05-09,15:00:00,518880.SS,Âô,-,41000.000,2.588,21.222
2014-05-09,15:00:00,513100.SS,Âò,-,91600.000,1.159,21.233
2014-06-16,15:00:00,513100.SS,Âô,-,91600.000,1.239,22.698
2014-06-16,15:00:00,159915.SZ,Âò,-,83100.000,1.363,22.653
2014-06-23,15:00:00,159915.SZ,Âô,-,83100.000,1.332,22.138
2014-06-23,15:00:00,513100.SS,Âò,-,88100.000,1.256,22.131
2014-06-30,15:00:00,513100.SS,Âô,-,88100.000,1.271,22.395
2014-06-30,15:00:00,518880.SS,Âò,-,42600.000,2.629,22.399
2014-07-08,15:00:00,518880.SS,Âô,-,42600.000,2.629,22.399
2014-07-08,15:00:00,513100.SS,Âò,-,85800.000,1.304,22.377
2014-07-21,15:00:00,513100.SS,Âô,-,85800.000,1.302,22.342
2014-07-21,15:00:00,510300.SS,Âò,-,50700.000,2.202,22.328
2014-08-21,15:00:00,510300.SS,Âô,-,50700.000,2.396,24.295
2014-08-21,15:00:00,159915.SZ,Âò,-,85700.000,1.415,24.253
2014-09-04,15:00:00,159915.SZ,Âô,-,85700.000,1.457,24.973
2014-09-04,15:00:00,513100.SS,Âò,-,93000.000,1.341,24.943
2014-09-12,15:00:00,513100.SS,Âô,-,93000.000,1.341,24.943
2014-09-12,15:00:00,159915.SZ,Âò,-,84100.000,1.483,24.944
2014-09-22,15:00:00,159915.SZ,Âô,-,84100.000,1.442,24.254
2014-09-22,15:00:00,510300.SS,Âò,-,50100.000,2.420,24.248
2014-09-29,15:00:00,510300.SS,Âô,-,50100.000,2.491,24.960
2014-09-29,15:00:00,159915.SZ,Âò,-,83800.000,1.489,24.956
2014-10-17,15:00:00,159915.SZ,Âô,-,83800.000,1.470,24.637
2014-10-17,15:00:00,510300.SS,Âò,-,49600.000,2.480,24.602
2014-10-24,15:00:00,510300.SS,Âô,-,49600.000,2.433,24.135
2014-10-24,15:00:00,518880.SS,Âò,-,49700.000,2.431,24.164
2014-10-31,15:00:00,518880.SS,Âô,-,49700.000,2.349,23.349
2014-10-31,15:00:00,510300.SS,Âò,-,45700.000,2.554,23.344
2014-11-07,15:00:00,510300.SS,Âô,-,45700.000,2.540,23.216
2014-11-07,15:00:00,513100.SS,Âò,-,85200.000,1.363,23.226
2014-11-24,15:00:00,513100.SS,Âô,-,85200.000,1.370,23.345
2014-11-24,15:00:00,510300.SS,Âò,-,43100.000,2.701,23.283
2015-01-20,15:00:00,510300.SS,Âô,-,43100.000,3.382,29.153
2015-01-20,15:00:00,518880.SS,Âò,-,57000.000,2.570,29.298
2015-01-28,15:00:00,518880.SS,Âô,-,57000.000,2.598,29.617
2015-01-28,15:00:00,159915.SZ,Âò,-,88700.000,1.668,29.590
2015-02-26,15:00:00,159915.SZ,Âô,-,88700.000,1.814,32.180
2015-02-26,15:00:00,513100.SS,Âò,-,111200.000,1.444,32.115
2015-03-05,15:00:00,513100.SS,Âô,-,111200.000,1.457,32.404
2015-03-05,15:00:00,159915.SZ,Âò,-,83600.000,1.938,32.403
2015-03-31,15:00:00,159915.SZ,Âô,-,83600.000,2.247,37.570
2015-03-31,15:00:00,510300.SS,Âò,-,46400.000,4.031,37.408
2015-04-08,15:00:00,510300.SS,Âô,-,46400.000,4.264,39.570
2015-04-08,15:00:00,159915.SZ,Âò,-,83200.000,2.377,39.553
2015-04-15,15:00:00,159915.SZ,Âô,-,83200.000,2.330,38.771
2015-04-15,15:00:00,510300.SS,Âò,-,44300.000,4.369,38.709
2015-05-07,15:00:00,510300.SS,Âô,-,44300.000,4.457,39.489
2015-05-07,15:00:00,159915.SZ,Âò,-,73500.000,2.686,39.484
2015-06-09,15:00:00,159915.SZ,Âô,-,73500.000,3.526,51.832
2015-06-09,15:00:00,510300.SS,Âò,-,49000.000,5.263,51.577
2015-06-23,15:00:00,510300.SS,Âô,-,49000.000,4.766,46.707
2015-06-23,15:00:00,513100.SS,Âò,-,157600.000,1.485,46.807
2015-07-07,15:00:00,513100.SS,Âô,-,157600.000,1.419,44.727
2015-07-07,15:00:00,518880.SS,Âò,-,96700.000,2.313,44.733
2015-07-15,15:00:00,518880.SS,Âô,-,96700.000,2.307,44.617
2015-07-15,15:00:00,513100.SS,Âò,-,152600.000,1.462,44.620
2015-08-05,15:00:00,513100.SS,Âô,-,152600.000,1.502,45.841
2015-08-05,15:00:00,159915.SZ,Âò,-,97100.000,2.358,45.792
2015-08-12,15:00:00,159915.SZ,Âô,-,97100.000,2.489,48.336
2015-08-12,15:00:00,513100.SS,Âò,-,157900.000,1.529,48.286
2015-08-19,15:00:00,513100.SS,Âô,-,157900.000,1.558,49.202
2015-08-19,15:00:00,518880.SS,Âò,-,106400.000,2.310,49.157
2015-09-23,15:00:00,518880.SS,Âô,-,106400.000,2.326,49.497
2015-09-23,15:00:00,513100.SS,Âò,-,171000.000,1.446,49.453
2015-09-30,15:00:00,513100.SS,Âô,-,171000.000,1.394,47.675
2015-09-30,15:00:00,159915.SZ,Âò,-,123300.000,1.935,47.717
2015-11-04,15:00:00,159915.SZ,Âô,-,123300.000,2.489,61.379
2015-11-04,15:00:00,513100.SS,Âò,-,193300.000,1.580,61.083
2015-11-11,15:00:00,513100.SS,Âô,-,114100.000,1.558,35.554
2015-11-11,15:00:00,159915.SZ,Âò,-,68600.000,2.680,36.770
2015-12-03,15:00:00,159915.SZ,Âô,-,68600.000,2.561,35.137
2015-12-03,15:00:00,513100.SS,Âô,-,79200.000,1.593,25.233
2015-12-03,15:00:00,510300.SS,Âò,-,77800.000,3.801,59.144
2015-12-10,15:00:00,510300.SS,Âô,-,77800.000,3.679,57.245
2015-12-10,15:00:00,513100.SS,Âò,-,153900.000,1.582,48.694
2015-12-21,15:00:00,513100.SS,Âô,-,153900.000,1.574,48.448
2015-12-21,15:00:00,159915.SZ,Âò,-,107000.000,2.663,56.988
2015-12-28,15:00:00,159915.SZ,Âô,-,107000.000,2.551,54.591
2015-12-28,15:00:00,510300.SS,Âò,-,72300.000,3.778,54.630
2016-01-05,15:00:00,510300.SS,Âô,-,72300.000,3.527,51.000
2016-01-05,15:00:00,518880.SS,Âò,-,112400.000,2.270,51.030
2016-03-15,15:00:00,518880.SS,Âô,-,112400.000,2.572,57.819
2016-03-15,15:00:00,513100.SS,Âò,-,143800.000,1.505,43.284
2016-03-25,15:00:00,513100.SS,Âô,-,135700.000,1.516,41.144
2016-03-25,15:00:00,510300.SS,Âò,-,89000.000,3.185,56.693
2016-04-01,15:00:00,510300.SS,Âô,-,89000.000,3.219,57.298
2016-04-01,15:00:00,513100.SS,Âô,-,8100.000,1.527,5.000
2016-04-01,15:00:00,159915.SZ,Âò,-,139600.000,2.097,58.548
2016-04-20,15:00:00,159915.SZ,Âô,-,139600.000,2.030,56.678
2016-04-20,15:00:00,513100.SS,Âò,-,183400.000,1.546,56.707
2016-04-27,15:00:00,513100.SS,Âô,-,183400.000,1.522,55.827
2016-04-27,15:00:00,518880.SS,Âò,-,107300.000,2.601,55.817
2016-05-26,15:00:00,518880.SS,Âô,-,107300.000,2.591,55.603
2016-05-26,15:00:00,513100.SS,Âò,-,179800.000,1.546,55.594
2016-06-07,15:00:00,513100.SS,Âô,-,179800.000,1.566,56.313
