date,trigger_value,threshold,time_trigger,days_since_rebalance_trade,confirmation_days,execution_month_rebalance_count_before
2013-04-18,1.0,0.15,False,67,1,0
2017-08-24,0.39999999999999997,0.15,False,1060,1,0
2017-09-21,0.16701562491643443,0.15,False,19,1,0
2017-09-29,0.2864705445703022,0.15,False,5,1,0
2017-12-27,0.28665985764184154,0.15,False,57,1,0
2017-12-29,0.29271746156369505,0.15,False,1,1,0
2018-02-08,0.291360696535668,0.15,False,27,1,0
2018-03-27,0.28706448256362344,0.15,False,27,1,0
2018-04-02,0.28847797739417974,0.15,False,3,1,0
2018-05-14,0.29342836181086973,0.15,False,25,1,0
2018-05-31,0.28996247846483914,0.15,False,12,1,0
2018-07-30,0.2907634256663789,0.15,False,40,1,0
2018-08-01,0.2930602924486839,0.15,False,1,1,0
2018-08-31,0.28758507346361817,0.15,False,21,1,0
2018-10-11,0.2883297268316982,0.15,False,22,1,0
2018-12-17,0.29008430569006155,0.15,False,46,1,0
2018-12-28,0.28970693053834773,0.15,False,8,1,0
2019-01-31,0.5961046568026892,0.15,False,21,1,0
2019-02-28,0.1519288296154785,0.15,False,14,1,0
2019-04-29,0.28729780047597775,0.15,False,40,1,0
2019-05-13,0.15348026549399826,0.15,False,6,1,0
2019-06-11,0.3522778206464432,0.15,False,19,1,0
2019-07-18,0.33820796708799916,0.15,False,26,1,0
2019-08-01,0.15299445300398862,0.15,False,9,1,0
2019-08-30,0.16150995573643306,0.15,False,20,1,0
2019-09-30,0.38349035833960127,0.15,False,19,1,0
2019-11-11,0.2952387877247859,0.15,False,24,1,0
2019-11-29,0.1782068869112324,0.15,False,13,1,0
2019-12-31,0.2268170674671368,0.15,False,21,1,0
2020-01-23,0.34469713675587754,0.15,False,15,1,0
2020-03-02,0.3559349368406777,0.15,False,20,1,0
2020-03-31,0.3540482362200893,0.15,False,20,1,0
2020-04-30,0.35659806242634434,0.15,False,20,1,0
2020-09-07,0.24320305929451932,0.15,False,86,1,0
2020-10-13,0.37405410424736435,0.15,False,19,1,0
2020-11-09,0.17086461561869384,0.15,False,18,1,0
2020-11-30,0.18812516137038637,0.15,False,14,1,0
2020-12-31,0.42727620187320303,0.15,False,22,1,0
2021-02-05,0.17984115537667586,0.15,False,24,1,0
2021-02-26,0.3008986573182834,0.15,False,9,1,0
2021-03-31,0.17975461054874922,0.15,False,22,1,0
2021-04-30,0.15971005262116098,0.15,False,20,1,0
2021-05-31,0.16807618233863247,0.15,False,17,1,0
2021-06-30,0.2944875940143822,0.15,False,20,1,0
2021-08-12,0.2997139707046597,0.15,False,30,1,0
2021-08-31,0.19749281313235129,0.15,False,12,1,0
2021-10-13,0.17178783147104154,0.15,False,23,1,0
2021-10-29,0.1553033188538477,0.15,False,11,1,0
2021-11-30,0.2584232241556309,0.15,False,21,1,0
2022-01-25,0.15603448843645776,0.15,False,38,1,0
2022-01-28,0.1789907870647274,0.15,False,2,1,0
2022-02-28,0.3145431232037594,0.15,False,15,1,0
2022-03-31,0.3070465228678364,0.15,False,22,1,0
2022-04-29,0.42228647181954226,0.15,False,18,1,0
2022-05-31,0.19337519230113231,0.15,False,18,1,0
2022-06-30,0.1918230647800377,0.15,False,20,1,0
2022-07-29,0.393542448689751,0.15,False,20,1,0
2022-08-31,0.3484770483567975,0.15,False,22,1,0
2022-09-30,0.25279653065674795,0.15,False,20,1,0
2022-10-31,0.21897222433559205,0.15,False,15,1,0
2022-11-30,0.3998165595077056,0.15,False,21,1,0
2022-12-30,0.38752000714933704,0.15,False,21,1,0
2023-01-31,0.4234963778420238,0.15,False,15,1,0
2023-02-28,0.18833560032898786,0.15,False,19,1,0
2023-03-31,0.33069424440362427,0.15,False,22,1,0
2023-04-28,0.3547532420372781,0.15,False,18,1,0
2023-05-31,0.3368944563326744,0.15,False,19,1,0
2023-07-13,0.2031245736987073,0.15,False,28,1,0
2023-07-31,0.25889472224789933,0.15,False,11,1,0
2023-08-31,0.34017343821786583,0.15,False,22,1,0
2023-09-28,0.4211841515882113,0.15,False,19,1,0
2023-10-31,0.4180857050517465,0.15,False,16,1,0
2023-11-30,0.1995896975962417,0.15,False,21,1,0
2023-12-29,0.20007631969875292,0.15,False,20,1,0
2024-01-31,0.3472107668568297,0.15,False,21,1,0
2024-03-18,0.24784456604979715,0.15,False,26,1,0
2024-03-29,0.25861963197089527,0.15,False,8,1,0
2024-05-16,0.19198697449686655,0.15,False,28,1,0
2024-05-31,0.1913536128810694,0.15,False,10,1,0
2024-06-28,0.3382756817804473,0.15,False,18,1,0
2024-08-19,0.33464579829926155,0.15,False,35,1,0
2024-08-30,0.2480289630559359,0.15,False,8,1,0
2024-09-30,0.31362044504554587,0.15,False,18,1,0
2024-10-31,0.20284147386241108,0.15,False,17,1,0
2024-11-29,0.26837295248973075,0.15,False,20,1,0
2024-12-31,0.15539838897180544,0.15,False,21,1,0
2025-01-27,0.3290598114164299,0.15,False,17,1,0
2025-02-28,0.3794559345112874,0.15,False,17,1,0
2025-04-03,0.17610786020572874,0.15,False,23,1,0
2025-04-30,0.3343871183767832,0.15,False,17,1,0
2025-05-30,0.39125741397562874,0.15,False,18,1,0
2025-06-30,0.19783088201656154,0.15,False,19,1,0
2025-07-31,0.2660985042786879,0.15,False,22,1,0
2025-08-29,0.2919810588379892,0.15,False,20,1,0
2025-09-30,0.2911587558763587,0.15,False,21,1,0
2025-10-31,0.2602276149706603,0.15,False,16,1,0
2025-11-28,0.19456765768317863,0.15,False,19,1,0
2025-12-31,0.2873318613373791,0.15,False,22,1,0
2026-01-30,0.20517591059623824,0.15,False,19,1,0
2026-02-27,0.3380447549790661,0.15,False,13,1,0
2026-03-31,0.19007525630080938,0.15,False,21,1,0
2026-04-30,0.388944441870533,0.15,False,20,1,0
2026-06-12,0.3344978096102482,0.15,False,27,1,0
2026-06-30,0.25620468372188904,0.15,False,10,1,0
2026-07-31,0.2726612950493487,0.15,False,22,1,0
