strategy,avg_equity_512890_weight,avg_tracking_error,median_tracking_error,p90_tracking_error,rebalances,avg_tilt_forward_20d_bp,median_tilt_forward_20d_bp,avg_whipsaw_20d,avg_trading_day_of_month,total_cost,rebalance_count,avg_turnover_per_rebalance,avg_orders_per_rebalance
calendar_monthly_reference,0.18291134526895558,0.4973211105994408,0.39862520907105164,0.9085645714419079,94,21.08036451473047,6.36805485938869,0.2336599887355609,2.0,80649.6270827,94,1666999.0456953195,3.4893617021276597
portfolio_drift_10_monthly_cap1,0.18343091230362402,0.48421164742717815,0.38570378370499,0.9086232557204914,109,12.15316558991238,0.0,0.20319520445666173,3.1743119266055047,89358.34468231999,109,1624300.6740274313,3.376146788990826
