date,calendar_monthly_reference,portfolio_drift_10_monthly_cap1,portfolio_drift_10_confirm05d_monthly_cap1
2013,0.02761043413281139,0.028302834238009833,0.02832058800867876
2014,0.04449324788640596,0.044486314160067986,0.044486136401874044
2015,0.03119536294349512,0.03119259364476412,0.03119252264364647
2016,0.026074544357653995,0.02607294000182292,0.026072898867107064
2017,0.01821738791997185,0.019280156509322577,0.022867918306653134
2018,0.04807947350553743,0.04994034370872358,0.043324971138184676
2019,0.09270553532198522,0.061183551432022476,0.1098840241126553
2020,0.08035872763209029,0.053750909690501336,0.057432499509995516
2021,0.13290202086439917,0.10292751725689242,0.09697599042560268
2022,0.07543705537410994,0.07323819751323746,0.08878408431311469
2023,0.11419267085075147,0.1018084505991339,0.0660408136787427
2024,0.1273939925876526,0.17724877483779866,0.17338659458811612
2025,0.04162749109947872,0.04104869547555068,0.03183780437842354
2026,0.009961889154295411,0.03396713882918756,0.0044113527299181055
