execution_date,signal_date,trading_day_of_month,turnover,orders,target_512890.SH,target_511260.SH,target_511360.SH,target_511880.SH,tilt_forward_20d,whipsaw_20d
2017-09-04,2017-09-01,2,936255.398,2,0.35,0.4,0.15,0.1,0.0,0.12173913043478261
2017-10-10,2017-10-09,2,280767.22659999994,2,0.3043478260869565,0.5217391304347826,0.13043478260869562,0.043478260869565216,-0.0013067665753977555,0.0
2018-03-02,2018-03-01,2,757334.416,2,0.4117647058823529,0.23529411764705885,0.17647058823529413,0.17647058823529416,0.00028917486247090644,0.28644501278772383
2018-04-03,2018-04-02,2,31897.38358,2,0.4117647058823529,0.23529411764705885,0.17647058823529413,0.17647058823529416,-0.0020377208949430643,0.0
2018-08-02,2018-08-01,2,32633.655469999998,2,0.4117647058823529,0.23529411764705885,0.17647058823529413,0.17647058823529416,0.0007794706289231414,0.28644501278772383
2018-09-04,2018-09-03,2,820705.7008400001,2,0.3043478260869565,0.5217391304347826,0.13043478260869562,0.043478260869565216,1.0391563725867286e-05,0.0
2018-11-02,2018-11-01,2,882763.19952,2,0.4117647058823529,0.23529411764705885,0.17647058823529413,0.17647058823529416,-0.00188788801167706,0.0
2019-02-11,2019-02-01,2,1297954.39048,3,0.4117647058823529,0.23529411764705885,0.17647058823529413,0.17647058823529416,0.004219666558098181,0.3500717360114778
2019-03-04,2019-03-01,2,1172138.4904,3,0.17073170731707313,0.5853658536585366,0.1463414634146341,0.09756097560975609,-0.009801228485700579,0.12822299651567945
2019-04-02,2019-04-01,2,369379.94272000005,3,0.19999999999999998,0.4571428571428572,0.17142857142857143,0.17142857142857146,0.004016439252969707,0.26666666666666666
2019-05-07,2019-05-06,2,914172.2608,3,0.46666666666666656,0.35555555555555557,0.13333333333333333,0.044444444444444446,-0.0011648486148520408,0.15042735042735048
2019-06-04,2019-06-03,2,508317.69888000004,3,0.5384615384615384,0.20512820512820518,0.15384615384615385,0.10256410256410259,0.007827614202653837,0.3384615384615385
2019-07-02,2019-07-01,2,1238676.4896,3,0.19999999999999998,0.4571428571428572,0.17142857142857143,0.17142857142857146,-0.00011623722654895716,0.2218487394957983
2019-08-02,2019-08-01,2,964418.19024,3,0.46666666666666656,0.35555555555555557,0.13333333333333333,0.044444444444444446,-0.0027931425183057817,0.15042735042735048
2019-09-03,2019-09-02,2,1022979.706,3,0.19999999999999998,0.4571428571428572,0.17142857142857143,0.17142857142857146,-0.0007556216085280105,0.12822299651567945
2019-10-09,2019-10-08,2,474780.14839999995,3,0.17073170731707313,0.5853658536585366,0.1463414634146341,0.09756097560975609,-0.00636727890905796,0.0
