execution_date,signal_date,trading_day_of_month,turnover,orders,target_512890.SH,target_511260.SH,target_511360.SH,target_511880.SH,tilt_forward_20d,whipsaw_20d
2013-04-19,2013-04-18,13,70063.0,1,0.35,0.4,0.15,0.1,0.0,0.0
2013-05-02,2013-04-26,1,20033.600000000002,1,0.35,0.4,0.15,0.1,0.0,0.0
2017-08-25,2017-08-24,19,955702.3385999999,2,0.35,0.4,0.15,0.1,0.0,0.1647058823529412
2017-09-22,2017-09-21,16,399058.32180000003,2,0.4117647058823529,0.23529411764705885,0.17647058823529413,0.17647058823529416,0.001348057574567775,0.28644501278772383
2017-10-09,2017-09-29,1,700397.99905,2,0.3043478260869565,0.5217391304347826,0.13043478260869562,0.043478260869565216,-0.0011845263766801298,0.0
2017-12-28,2017-12-27,20,726758.105,2,0.4117647058823529,0.23529411764705885,0.17647058823529413,0.17647058823529416,0.0008002036012732496,0.28644501278772383
2018-01-02,2017-12-29,1,737327.7257999999,2,0.3043478260869565,0.5217391304347826,0.13043478260869562,0.043478260869565216,-0.00032455929575992434,0.0
2018-02-09,2018-02-08,7,763212.6294399999,2,0.4117647058823529,0.23529411764705885,0.17647058823529413,0.17647058823529416,-0.0008320236159535416,0.0
2018-03-28,2018-03-27,20,782044.13409,2,0.3043478260869565,0.5217391304347826,0.13043478260869562,0.043478260869565216,0.0023149842672523357,0.28644501278772383
2018-04-03,2018-04-02,2,793206.45814,2,0.4117647058823529,0.23529411764705885,0.17647058823529413,0.17647058823529416,-0.0020377208949430643,0.0
2018-05-15,2018-05-14,10,806587.884,2,0.3043478260869565,0.5217391304347826,0.13043478260869562,0.043478260869565216,0.0012308268976016262,0.28644501278772383
2018-06-01,2018-05-31,1,827721.02105,2,0.4117647058823529,0.23529411764705885,0.17647058823529413,0.17647058823529416,-0.0004100535247752451,0.0
2018-07-31,2018-07-30,22,831198.2563199999,2,0.3043478260869565,0.5217391304347826,0.13043478260869562,0.043478260869565216,-0.000581665480979495,0.0
2018-08-02,2018-08-01,2,856416.7969199999,2,0.4117647058823529,0.23529411764705885,0.17647058823529413,0.17647058823529416,0.0007794706289231414,0.28644501278772383
2018-09-03,2018-08-31,1,855301.04275,2,0.3043478260869565,0.5217391304347826,0.13043478260869562,0.043478260869565216,-0.0003502844067697871,0.0
2018-10-12,2018-10-11,5,879904.4633199999,2,0.4117647058823529,0.23529411764705885,0.17647058823529413,0.17647058823529416,-0.0018787992683707096,0.0
2018-12-18,2018-12-17,12,901990.2139,2,0.3043478260869565,0.5217391304347826,0.13043478260869562,0.043478260869565216,0.001525471496312055,0.28644501278772383
2019-01-02,2018-12-28,1,932384.76576,2,0.4117647058823529,0.23529411764705885,0.17647058823529413,0.17647058823529416,0.00011192879994207186,0.28644501278772383
2019-02-01,2019-01-31,1,1935462.0855999999,3,0.3043478260869565,0.5217391304347826,0.13043478260869562,0.043478260869565216,-0.005430479599628757,0.13361611876988333
2019-03-01,2019-02-28,1,503235.49199999997,3,0.17073170731707313,0.5853658536585366,0.1463414634146341,0.09756097560975609,-0.007030640446254582,0.12822299651567945
