strategy,annualized_return,volatility,sharpe,max_drawdown,sortino,calmar,worst_calendar_return,best_calendar_return,final_nav,total_deposits,trades,traded_notional,estimated_transaction_cost,meets_5pct_return_floor,trigger_signals,rebalance_dates,deposit_trade_count,rebalance_trade_count,average_cash_weight
calendar_monthly_reference,0.06583566636287608,0.04311030224854304,1.5006708695233368,-0.05912863943001101,1.8364877769379506,1.1134311054257218,0.009961889154295411,0.13290202086439917,5530870.910917308,3280000.0,504,161299254.1654,80649.6270827,True,164,94,176,328,0.031169797831788318
portfolio_drift_10_monthly_cap1,0.06383723804556651,0.045685728050704144,1.3775151461023811,-0.050609527879078686,1.5551738702896707,1.261367981896468,0.019280156509322577,0.17724877483779866,5534621.5414276915,3280000.0,454,178716689.36464,89358.34468232,True,109,109,86,368,0.029497726003678615
portfolio_drift_10_confirm05d_monthly_cap1,0.06224219396593855,0.04366355177575687,1.4048407375702727,-0.05779617862760322,1.6799880415873876,1.076925766441796,0.0044113527299181055,0.17338659458811612,5344763.094511369,3280000.0,465,174010922.53728,87005.46126863999,True,94,94,136,329,0.030454689387752813
